variant,seed,policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,average_reward
baseline_B_state_v2_fixed,0,ppo,low_snr_blockage,50,600,0.926667,0.136667,0.839643,0.882652,0.101234,18.288169,129.953825,0.901798,0.901798,0.015015,0.8054,0.82,0.82,0.82,0.053515,82.809902,0.0,0.0,0.0,78.0,0.0,0.0,0.135575,0.0,0.073333,0.85,0.0,0.0,0.0,0.0,0.0,0.103333,0.896667,0.0,0.0,-4.167591
baseline_B_state_v2_fixed,1,ppo,low_snr_blockage,50,600,0.965,0.116667,0.848036,0.888557,0.096525,23.141352,134.012728,0.932621,0.932621,0.007848,0.804733,0.82,0.82,0.82,0.031393,110.002385,0.0,0.0,0.0,78.0,0.0,0.0,0.139331,0.0,0.035,0.861667,0.0,0.0,0.0,0.0,0.0,0.085,0.915,0.0,0.0,-5.178752
baseline_B_state_v2_fixed,2,ppo,low_snr_blockage,50,600,0.951667,0.13,0.842627,0.884012,0.098487,21.974385,132.546231,0.918258,0.918258,0.012846,0.803667,0.82,0.82,0.82,0.045834,101.998164,0.0,0.0,0.0,78.0,0.0,0.0,0.136896,0.0,0.048333,0.851667,0.0,0.0,0.0,0.0,0.0,0.095,0.905,0.0,0.0,-4.903833
T1_deadline_slack,0,ppo,low_snr_blockage,50,600,0.926667,0.136667,0.839643,0.882652,0.101234,18.288169,129.953825,0.901798,0.901798,0.015015,0.8054,0.82,0.82,0.82,0.053515,82.809902,0.0,0.0,0.0,78.0,0.0,0.0,0.135575,0.0,0.073333,0.85,0.0,0.0,0.0,0.0,0.0,0.103333,0.896667,0.0,0.0,-4.167591
T1_deadline_slack,1,ppo,low_snr_blockage,50,600,0.965,0.116667,0.848036,0.888557,0.096525,23.141352,134.012728,0.932621,0.932621,0.007848,0.804733,0.82,0.82,0.82,0.031393,110.002385,0.0,0.0,0.0,78.0,0.0,0.0,0.139331,0.0,0.035,0.861667,0.0,0.0,0.0,0.0,0.0,0.085,0.915,0.0,0.0,-5.178752
T1_deadline_slack,2,ppo,low_snr_blockage,50,600,0.951667,0.13,0.842627,0.884012,0.098487,21.974385,132.546231,0.918258,0.918258,0.012846,0.803667,0.82,0.82,0.82,0.045834,101.998164,0.0,0.0,0.0,78.0,0.0,0.0,0.136896,0.0,0.048333,0.851667,0.0,0.0,0.0,0.0,0.0,0.095,0.905,0.0,0.0,-4.903833
T2_token_fast,0,ppo,low_snr_blockage,50,600,0.928333,0.133333,0.840605,0.883484,0.100924,17.959105,127.31579,0.90401,0.90401,0.014126,0.8058,0.82,0.82,0.82,0.052626,82.089959,0.0,0.0,0.0,78.0,0.0,0.0,0.135614,0.0,0.071667,0.828333,0.0,0.0,0.0,0.0,0.0,0.101667,0.898333,0.0,0.0,-4.088514
T2_token_fast,1,ppo,low_snr_blockage,50,600,0.965,0.115,0.848036,0.888557,0.096525,23.037589,132.886975,0.932621,0.932621,0.007848,0.805,0.82,0.82,0.82,0.031393,109.890087,0.0,0.0,0.0,78.0,0.0,0.0,0.139248,0.0,0.035,0.86,0.0,0.0,0.0,0.0,0.0,0.085,0.915,0.0,0.0,-5.161862
T2_token_fast,2,ppo,low_snr_blockage,50,600,0.951667,0.128333,0.842627,0.884012,0.098487,21.510299,130.99048,0.918258,0.918258,0.012846,0.803667,0.82,0.82,0.82,0.045834,100.844736,0.0,0.0,0.0,78.0,0.0,0.0,0.136896,0.0,0.048333,0.848333,0.0,0.0,0.0,0.0,0.0,0.095,0.905,0.0,0.0,-4.813038
T3_cache_fallback,0,ppo,low_snr_blockage,50,600,0.926667,0.136667,0.83978,0.882652,0.101089,18.226394,129.807913,0.900586,0.900586,0.014878,0.8054,0.82,0.82,0.82,0.053378,82.753064,0.0,0.0,0.0,78.0,0.0,0.0,0.135337,0.0,0.073333,0.848333,0.0,0.0,0.0,0.0,0.0,0.105,0.895,0.0,0.0,-4.153508
