series,episode,mean,std
peak:raw_return,0,-3.488509,1.325606
peak:raw_return,1,-3.968268,2.239517
peak:raw_return,2,-1.343872,5.282294
peak:raw_return,3,-0.564832,2.730580
peak:raw_return,4,-0.219215,4.286692
peak:raw_return,5,-1.082793,2.427918
peak:raw_return,6,-3.899035,1.661401
peak:raw_return,7,1.809437,9.592303
peak:raw_return,8,-6.969101,1.100959
peak:raw_return,9,0.539614,4.181837
peak:raw_return,10,1.740217,2.210799
peak:raw_return,11,-0.771743,3.364266
peak:raw_return,12,-3.074639,4.009772
peak:raw_return,13,0.901257,2.016535
peak:raw_return,14,1.539928,2.199781
peak:raw_return,15,2.199250,2.855362
peak:raw_return,16,-1.422712,2.798778
peak:raw_return,17,2.710385,6.141496
peak:raw_return,18,-5.323612,1.401354
peak:raw_return,19,-5.838570,0.015696
peak:raw_return,20,-2.838520,4.050673
peak:raw_return,21,-2.351512,3.458808
peak:raw_return,22,-4.297635,1.235144
peak:raw_return,23,-1.922617,2.634514
peak:raw_return,24,-5.981732,0.237665
peak:raw_return,25,-3.269327,3.793649
peak:raw_return,26,-5.385461,0.449524
peak:raw_return,27,-3.921832,4.133027
peak:raw_return,28,-1.590456,1.046067
peak:raw_return,29,2.191170,0.338814
peak:raw_return,30,-0.388578,2.645327
peak:raw_return,31,1.124869,5.506802
peak:raw_return,32,-2.400799,4.693985
peak:raw_return,33,-4.183194,1.995262
peak:raw_return,34,-2.616663,2.236237
peak:raw_return,35,-2.530210,4.074470
peak:raw_return,36,-1.442496,3.254486
peak:raw_return,37,-4.406083,2.505620
peak:raw_return,38,-3.444904,1.659364
peak:raw_return,39,-2.258589,0.308925
peak:raw_return,40,1.623426,2.283437
peak:raw_return,41,-2.203626,1.329195
peak:raw_return,42,-2.357701,1.484868
peak:raw_return,43,0.555064,4.754860
peak:raw_return,44,-3.704851,4.387442
peak:raw_return,45,-4.235630,2.940506
peak:raw_return,46,-1.073860,6.936753
peak:raw_return,47,-3.476264,1.651221
peak:raw_return,48,-0.682504,3.631357
peak:raw_return,49,1.592544,1.217441
peak:raw_return,50,0.437243,3.087884
peak:raw_return,51,-4.266591,1.909578
peak:raw_return,52,2.019651,3.461907
peak:raw_return,53,4.606736,5.999745
peak:raw_return,54,-4.274933,2.273209
peak:raw_return,55,-3.397674,1.849724
peak:raw_return,56,-2.672247,3.307525
peak:raw_return,57,2.547353,3.654880
peak:raw_return,58,-0.931364,1.732947
peak:raw_return,59,-0.530275,2.436142
peak:raw_return,60,1.013957,2.693819
peak:raw_return,61,-2.048739,5.311695
peak:raw_return,62,-1.169924,3.589143
peak:raw_return,63,-3.376534,1.745063
peak:raw_return,64,-3.200491,1.994228
peak:raw_return,65,1.470942,1.424281
peak:raw_return,66,1.644161,1.059509
peak:raw_return,67,-0.526581,3.640048
peak:raw_return,68,-1.864446,6.099716
peak:raw_return,69,-3.263461,1.820731
peak:raw_return,70,-0.671349,2.436811
peak:raw_return,71,0.099975,2.627354
peak:raw_return,72,3.987266,6.236069
peak:raw_return,73,-2.224105,2.709566
peak:raw_return,74,-4.079488,1.252852
peak:raw_return,75,-1.204831,1.876702
peak:raw_return,76,-2.144702,2.747152
peak:raw_return,77,-2.446774,3.427651
peak:raw_return,78,-7.338827,0.478760
peak:raw_return,79,-3.362773,3.430597
peak:raw_return,80,-5.132957,1.695918
peak:raw_return,81,-0.309698,2.177181
peak:raw_return,82,1.087096,3.834850
