episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-6.184477,-211.6770608598947,-211.6770608598947,-6.184477,0.8,-0.6184477,-21.167706085989472,-21.167706085989472,0.0,0.871438,0.0,0.6959999999999998,3.8279999999999994,0.0,0.0,0.0,0.0,0.0,1.9,0.2,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,6.959999999999998,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.0950238704681396,250.0,0.1,0.65,800000.2,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.6,0.0,0.0,0.0,1.0,0.0,0.0
1.0,-1.766637,-99.06816691598654,-99.06816691598654,-1.766637,0.625,-0.220829625,-12.383520864498317,-12.383520864498317,0.21814675,0.79866175,0.10076904296875,0.493,2.262,0.0,990.2839599999999,0.0,0.0,0.0,0.75,0.25,0.125,0.0,0.0,0.0,1.0,0.25,0.125,0.0,0.0,0.0,0.0,3.944,0.0,990.28396,0.0,0.0,0.75,0.25,0.125,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.625,1.0950238704681396,250.0,0.09933333333333334,0.6481944444444445,750000.25,0.11744922057175639,0.10950186751782895,0.0792895458266139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,193.173809,1.55972625,0.02003675,0.0,1.0,0.125,0.0
2.0,-5.418080999999999,-453.846963454079,-453.846963454079,-5.418080999999999,0.0,-1.0836161999999998,-90.7693926908158,-90.7693926908158,0.0,0.3304922,0.0,0.47700000000000004,1.405,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3850000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0950238704681396,250.0,0.09866666666666667,0.6463888888888889,1.0,1e-06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,2.0105,-100.9648800424645,-100.9648800424645,2.0105,0.6,0.4021,-20.1929760084929,-20.1929760084929,0.41099420000000003,0.4773362,0.40205078125,0.24532559999999998,0.7557256,0.0,1468.5536613999998,0.0,0.0,0.0,1.2,0.4,0.4,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,1.2266279999999998,0.0,2093.3355039999997,0.0,0.0,0.6,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.4,1.0950238704681396,250.0,0.098,0.6445833333333334,400000.6,0.37973569550094605,0.3464998251795769,0.2946940419673919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,625.2976132,5.1845036,0.078987,0.0,1.0,0.4,0.0
4.0,-2.875198,-319.92761820821744,-319.92761820821744,-2.875198,0.1111111111111111,-0.31946644444444444,-35.54751313424638,-35.54751313424638,0.15452257777777778,0.753953,0.0895724826388889,0.4671111111111111,2.446888888888889,0.0,1053.62143,0.0,0.0,0.0,1.5555555555555556,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,1.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,4.204,0.0,1053.62143,0.0,0.0,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0950238704681396,250.0,0.09733333333333334,0.6427777777777778,666667.0,0.10162008350245161,0.10294935060871974,0.06747120489676794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,187.46321777777777,1.4466826666666668,0.017728555555555556,0.0,1.0,0.1111111111111111,0.0
5.0,6.127206000000001,-212.20865538915942,-212.20865538915942,6.127206000000001,0.6,1.2254412000000001,-42.44173107783188,-42.44173107783188,0.5153982,0.1362332,0.48369140625,0.24500000000000002,0.5234,0.0,2286.7566042000003,0.0,0.0,0.0,0.8,0.4,0.6,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0,0.0,1.225,0.0,3127.6148120000003,0.0,0.0,0.6,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0950238704681396,250.0,0.09666666666666668,0.6409722222222223,0.9999999999999944,0.5732296151451111,0.47714870715141294,0.20868147903680803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,940.8079584,7.734761600000001,0.128061,0.0,1.0,0.6,0.0
6.0,-2.0443160000000002,-380.6254011498168,-380.6254011498168,-2.0443160000000002,0.2,-0.40886320000000004,-76.12508022996336,-76.12508022996336,0.11332040000000002,0.3842002,0.2408203125,0.5234,1.3586,0.0,1061.091195,0.0,0.0,0.0,1.2,0.6,0.2,0.0,0.0,0.0,1.0,0.6,0.2,0.0,0.0,0.0,0.0,2.617,0.0,1061.091195,0.0,0.0,0.4,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0950238704681396,250.0,0.096,0.6391666666666667,200000.8,0.18383627335863115,0.17797151732444766,0.14873006093502045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,354.5345728,2.6167906,0.0346764,0.0,1.0,0.2,0.0
7.0,3.0727510000000002,55.29752773035099,55.29752773035099,3.0727510000000002,0.8333333333333334,0.5121251666666667,9.216254621725165,9.216254621725165,0.4340285,0.6732636666666667,0.2687174479166667,0.3093333333333333,1.1986666666666668,0.0,1588.2790253333335,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.8559999999999999,0.0,2116.804302,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0950238704681396,250.0,0.09533333333333334,0.6373611111111112,666667.0,0.3200698617484569,0.2474317010740439,0.11800557613372803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,509.81359033333337,4.335149666666667,0.03826566666666666,0.0,1.0,0.3333333333333333,0.0
8.0,-6.846824,-86.72531372516022,-86.72531372516022,-6.846824,0.9,-0.6846824,-8.672531372516023,-8.672531372516023,0.0707916,0.8406031,0.078046875,0.6032,3.0391999999999997,0.0,1061.3535950000003,0.0,0.0,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,6.031999999999999,0.0,1061.353595,0.0,0.0,0.9,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,1.0950238704681396,250.0,0.09466666666666668,0.6355555555555555,800000.2,0.09122203615274432,0.0875844710469246,0.07231000983715058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,161.6223593,1.3080133,0.015881799999999998,0.0,1.0,0.1,0.0
9.0,-4.2337229999999995,-380.9232159265833,-380.9232159265833,-4.2337229999999995,0.0,-0.8467445999999998,-76.18464318531666,-76.18464318531666,0.0,0.5822602,0.0,0.6626,2.0545999999999998,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,3.3129999999999997,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0950238704681396,250.0,0.094,0.63375,400000.6,1e-06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.8,0.0,0.0,0.0,1.0,0.0,0.0
