episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.2,0.0,1.0,0.0,0.2,0.3,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
1.0,1.0,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
3.0,1.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
4.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
5.0,1.0,0.3,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
6.0,1.0,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
7.0,1.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
8.0,1.0,0.2,0.0,1.0,0.0,0.2,0.6,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
9.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
10.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
11.0,1.0,0.3,0.0,1.0,0.0,0.3,0.4,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
12.0,1.0,0.1,0.0,1.0,0.0,0.1,0.4,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
13.0,1.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
14.0,1.0,0.1,0.0,1.0,0.0,0.1,0.6,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
16.0,1.0,0.1,0.0,1.0,0.0,0.1,0.7,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
17.0,1.0,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
18.0,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
