episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,-50.073054,-50.073054,-50.073054,-50.073054,0.0,-5.0073054,-5.0073054,-5.0073054,0.3179817,0.4113263000000001,57.8033276,0.5020182999999999,2.4722931999999997,40.84145260000001,3458.5883213,5.1,3.4,5.020182999999999,70.659236,5706.011200000001,9.0,6.0,0.7,1.0,0.7,0.0,1.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.05,0.25,0.7755031620264052,0.3410569399991512,0.36321550303697586,0.3908128272294998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-28.417420000000007,-28.417420000000007,-28.417420000000007,-28.417420000000007,0.0,-2.841742000000001,-2.841742000000001,-2.841742000000001,0.3822028999999999,0.37703089999999995,60.581858499999996,0.43779709999999994,1.9870746999999997,41.448098099999996,3549.4554758000004,4.0,1.6,4.377971,52.2994,4473.324623,8.0,2.0,0.4,1.0,0.4,0.0,1.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.049625,0.24875,0.8323927088379861,0.18347672008452412,0.20789880910515776,0.16738262331485748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-22.949945999999997,-22.949945999999997,-22.949945999999997,-22.949945999999997,0.0,-2.2949946,-2.2949946,-2.2949946,0.43906330000000005,0.39085660000000005,19.2281625,0.38093669999999985,2.112913099999999,14.6727648,1258.1828727,4.9,0.5,3.8093669999999986,26.078908,2236.709374,9.0,1.0,0.2,1.0,0.2,0.0,1.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.04925,0.2475,0.9069524410367013,0.09453090365366937,0.13469272136688235,0.06475574390590191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-52.218177,-52.218177,-52.218177,-52.218177,0.0,-5.2218177,-5.2218177,-5.2218177,0.6477692,0.3870214,144.85685110000003,0.1722308,0.6990117999999998,53.525538100000006,4200.9023718,4.2,3.5,1.722308,82.760292,6158.388819,8.0,6.0,0.8,1.0,0.8,0.0,1.0,0.0,0.8,0.6,0.0,0.0,0.0,0.0,0.048875,0.24625,0.7118741034865378,0.3161387639756918,0.3303092077076435,0.38688586106896394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,-38.112417,-38.112417,-38.112417,-38.112417,0.0,-3.8112417,-3.8112417,-3.8112417,0.5835215,0.3814105,62.3870193,0.23647849999999998,1.2794243999999997,30.248737100000007,2606.3336541999997,3.0,2.1,2.364785,62.084274,5001.872868999999,7.0,5.0,0.6,1.0,0.6,0.0,1.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0485,0.245,0.8245670536756515,0.30164204423942564,0.2795779018402099,0.28645349815487864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-33.45604,-33.45604,-33.45604,-33.45604,0.0,-3.3456040000000002,-3.3456040000000002,-3.3456040000000002,0.3478219,0.39710070000000003,57.5656474,0.4721780999999998,2.244530199999999,21.514950399999996,2210.4844679000003,0.6,0.6,4.721780999999998,45.985552,4585.292768,2.0,2.0,0.5,1.0,0.5,0.0,1.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.048125,0.24375,0.7613138127326965,0.20057587257671355,0.2432518900632858,0.24726237994432446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-41.629139,-41.629139,-41.629139,-41.629139,0.0,-4.1629139,-4.1629139,-4.1629139,0.5835215,0.38141050000000004,124.061178,0.23647850000000004,1.4035532000000004,34.1942395,2767.3857973000004,3.9,2.1,2.3647850000000004,72.39039100000001,5698.851252,8.0,5.0,0.6,1.0,0.6,0.0,1.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.04775,0.2425,0.7915230526328086,0.21510629823126798,0.272790844976902,0.30723147892951963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-44.807682,-44.807682,-44.807682,-44.807682,0.0,-4.4807682,-4.4807682,-4.4807682,0.5857048,0.38483160000000005,144.738041,0.23429519999999998,1.1334626,46.956328,3704.4013236000005,4.3,2.9,2.342952,73.848761,5625.368517,7.0,4.0,0.7,1.0,0.7,0.0,1.0,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.047375,0.24125,0.8197440285682678,0.2068226029747605,0.2988218773901462,0.3852684943974018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-43.507085999999994,-43.507085999999994,-43.507085999999994,-43.507085999999994,0.0,-4.350708599999999,-4.350708599999999,-4.350708599999999,0.5857048,0.38483160000000005,62.5058294,0.23429520000000004,1.3196558,38.312527599999996,3148.9530015000005,4.7,3.3,2.3429520000000004,64.747061,5045.1309360000005,7.0,5.0,0.7,1.0,0.7,0.0,1.0,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.047,0.24,0.8127011395692826,0.2879983521649122,0.26874084293842315,0.35415706655383106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-56.987566,-56.987566,-56.987566,-56.987566,0.0,-5.6987566,-5.6987566,-5.6987566,0.7098336000000001,0.38921120000000003,165.53371410000003,0.1101664,0.5128185999999999,56.4591494,4326.3949176,4.7,4.3,1.101664,89.188281,6344.025378999999,8.0,7.0,0.9,1.0,0.9,0.0,1.0,0.0,0.9,0.7,0.0,0.0,0.0,0.0,0.046625,0.23875,0.8559534612894056,0.2582524556426168,0.299673585370183,0.48822307363152495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
