episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.3,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.0,0.098,0.0,0.027999999999999997,0.10400000000000001,0.0,0.0,0.049,0.013999999999999999
1.0,1.0,0.2,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.0,0.19502000000000003,0.0,0.04572,0.16696,0.0,0.0,0.09751000000000001,0.02286
2.0,1.0,0.1,0.0,1.0,0.0,0.1,0.6,0.0,0.0,0.0,0.29106980000000005,0.0,0.0532628,0.26929040000000004,0.0,0.0,0.14553490000000002,0.0266314
3.0,1.0,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.11073017199999999,0.25059749600000003,0.0,0.0,0.19307955100000002,0.055365085999999994
4.0,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.48029751098000006,0.0,0.14762287027999998,0.23209152104000003,0.0,0.0,0.24014875549000003,0.07381143513999999
5.0,1.0,0.2,0.0,1.0,0.0,0.2,0.5,0.0,0.0,0.0,0.5734945358702,0.0,0.1641466415772,0.31377060582960004,0.0,0.0,0.2867472679351,0.0820733207886
6.0,1.0,0.6,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.665759590511498,0.0,0.22050517516142798,0.37463289977130404,0.0,0.0,0.332879795255749,0.11025258758071399
7.0,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.0,0.757101994606383,0.0,0.2263001234098137,0.454886570773591,0.0,0.0,0.3785509973031915,0.11315006170490685
8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.8475309746603192,0.0,0.22203712217571556,0.5743377050658551,0.0,0.0,0.4237654873301596,0.11101856108785778
9.0,1.0,0.1,0.0,1.0,0.0,0.1,0.7,0.0,0.0,0.0,0.9370556649137161,0.0,0.2278167509539584,0.6925943280151966,0.0,0.0,0.46852783245685803,0.1139083754769792
10.0,1.0,0.3,0.0,1.0,0.0,0.3,0.4,0.0,0.0,0.0,1.0256851082645788,0.0,0.2535385834444188,0.7496683847350447,0.0,0.0,0.5128425541322894,0.1267692917222094
11.0,1.0,0.7,0.0,1.0,0.0,0.7,0.3,0.0,0.0,0.0,1.1134282571819332,0.0,0.31900319760997464,0.7861717008876943,0.0,0.0,0.5567141285909666,0.15950159880498732
12.0,1.0,0.6,0.0,1.0,0.0,0.6,0.5,0.1,0.0,0.0,1.200293974610114,0.0,0.3738131656338749,0.8623099838788173,0.010000000000000002,0.0,0.600146987305057,0.18690658281693745
