episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-27.616592999999998,-99.7538122588929,-99.7538122588929,-27.616592999999998,0.0,-2.7616593,-9.97538122588929,-9.97538122588929,0.46132509999999993,0.43387000000000003,1.0695009,0.35867489999999996,1.6013616,1.7929662,0.0,4.2,3.3,3.5867489999999997,3.009117,0.0,7.0,6.0,0.9,1.0,0.3,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.927599310874939,500.0,0.1,0.65,0.9999999999999897,0.8879733805490494,0.6281992594003678,0.2178868726491928,0.0,0.098,0.0,0.027999999999999997,0.10400000000000001,0.0,0.0,0.049,0.013999999999999999,3.0,201.44834610000004,1.5140166000000002,0.0,0.0163744,0.6,0.0,0.3
1.0,-13.839511,-13.609202716485996,-15.061202716485994,-13.839511,0.0,-1.3839511,-1.3609202716485995,-1.5061202716485993,0.5635614999999999,0.42271099999999995,1.1882510000000002,0.25643849999999996,0.8895704999999999,0.3524027000000002,8.924251500000002,2.9,2.9,2.5643849999999997,3.206675,89.24251500000003,4.0,4.0,1.0,1.0,0.2,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.927599310874939,500.0,0.09933333333333334,0.6481944444444445,0.9999999999999523,0.9830453111231326,0.6805561712384225,0.21627473145723344,0.0,0.19502000000000003,0.0,0.04572,0.16696,0.0,0.0,0.09751000000000001,0.02286,3.0,160.10210519999998,1.1624328,-0.0197033,0.0055556,0.6,0.0,0.6
2.0,-20.612059,-156.40788987298595,-159.40556987298595,-20.612059,0.0,-2.0612059,-15.640788987298595,-15.940556987298596,0.44911309999999993,0.42754200000000003,0.8318806999999999,0.37088689999999996,1.7463860999999998,0.006262699999999999,0.0,2.7,2.7,3.7088689999999995,0.06262699999999999,0.0,6.0,6.0,0.7,1.0,0.1,0.0,1.0,0.0,0.1,0.6,0.0,0.0,0.927599310874939,500.0,0.09866666666666667,0.6463888888888889,1.0000000000000058,0.6896497975686073,0.4835551253259182,0.16291183638572693,0.0,0.29106980000000005,0.0,0.0532628,0.26929040000000004,0.0,0.0,0.14553490000000002,0.0266314,3.0,94.46480319999998,0.6042924000000001,-0.010396,0.0117648,0.6,0.0,0.4
3.0,-37.44117,-1650.2985350498682,-1653.5288098498681,-37.44117,0.0,-3.744117,-165.02985350498682,-165.35288098498683,0.5237136000000001,0.39197800000000005,0.2376802,0.2962863999999999,1.4927443999999999,56.716964,5635.268223000001,0.0,0.0,2.962863999999999,79.039133,7907.410747,0.0,0.0,0.2,1.0,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.927599310874939,500.0,0.098,0.6445833333333334,0.9999999999999698,0.1950665126307487,0.14697677421569827,0.07130426543951035,0.0,0.38615910200000003,0.0,0.11073017199999999,0.25059749600000003,0.0,0.0,0.19307955100000002,0.055365085999999994,3.0,1089.5394885,9.198464999999999,0.09054029999999999,0.0,0.6,0.6,0.0
4.0,-37.783808,-1735.3243287537894,-1739.6288404617894,-37.783808,0.0,-3.7783808,-173.53243287537893,-173.96288404617894,0.44474559999999996,0.4113442,0.4753604,0.3752543999999999,2.0191388999999997,34.48270599999999,3617.2414802999992,0.0,0.0,3.752543999999999,80.47714199999999,8523.025237999998,0.0,0.0,0.4,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.927599310874939,500.0,0.09733333333333334,0.6427777777777778,0.9999999999999689,0.39239833631095883,0.2797816374003887,0.10969176805019379,0.0,0.48029751098000006,0.0,0.14762287027999998,0.23209152104000003,0.0,0.0,0.24014875549000003,0.07381143513999999,3.0,1107.7868720000001,9.2209769,0.1012186,0.0,0.6,0.4,0.3
5.0,0.9723010000000012,36.385944764849455,30.127266309289457,0.9723010000000012,0.0,0.09723010000000012,3.6385944764849456,3.0127266309289458,0.7718980000000001,0.39140100000000005,1.1881009999999999,0.04810199999999998,0.2645609999999999,0.048298400000000005,0.0,2.4,2.4,0.4810199999999998,0.088816,0.0,5.0,5.0,1.0,1.0,0.2,0.0,1.0,0.0,0.2,0.5,0.0,0.0,0.927599310874939,500.0,0.09666666666666668,0.6409722222222223,1.0000000000000526,0.9912181808054447,0.665935017168522,0.18122262567281724,0.0,0.5734945358702,0.0,0.1641466415772,0.31377060582960004,0.0,0.0,0.2867472679351,0.0820733207886,3.0,129.70133700000002,1.0365759,-0.013089299999999998,0.0,0.6,0.0,0.9
6.0,-55.421677,-2494.2573317007673,-2502.23223933225,-55.421677,0.0,-5.5421677,-249.42573317007674,-250.22322393322503,0.43419299999999994,0.47467380000000003,0.9401515,0.3858069999999999,1.8060664999999996,34.8666172,3377.9503238999996,2.5,2.5,3.8580699999999992,107.036317,11185.293158,4.0,4.0,0.8,1.0,0.6,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.927599310874939,500.0,0.096,0.6391666666666667,0.9999999999998771,0.779191498186779,0.556845446124673,0.24550604444742197,0.0,0.665759590511498,0.0,0.22050517516142798,0.37463289977130404,0.0,0.0,0.332879795255749,0.11025258758071399,3.0,1419.8522838000001,12.073573800000002,0.1086582,0.010526299999999999,0.6,0.3,0.3
7.0,-8.502705,-74.76741010420602,-83.51867568333897,-8.502705,0.0,-0.8502705,-7.476741010420602,-8.351867568333898,0.5175276,0.42213080000000003,0.9506608,0.3024724,1.1810569999999996,0.1572914,4.8128066999999985,1.9,1.9,3.0247239999999995,1.572914,48.12806699999999,5.0,5.0,0.8,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.927599310874939,500.0,0.09533333333333334,0.6373611111111112,0.9999999999999746,0.7698728415634155,0.5727318859547377,0.2542994413971901,0.0,0.757101994606383,0.0,0.2263001234098137,0.454886570773591,0.0,0.0,0.3785509973031915,0.11315006170490685,3.0,93.1697182,0.7922595,-0.0046294000000000005,0.0133334,0.6,0.0,0.3
8.0,-20.889055,-50.24323150517862,-60.998457446657596,-20.889055,0.0,-2.0889055,-5.024323150517862,-6.0998457446657595,0.5197109,0.4255519,1.0694709000000002,0.3002891,1.1614073,0.0,0.0,3.4,3.4,3.0028909999999995,0.0,0.0,7.0,7.0,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.927599310874939,500.0,0.09466666666666668,0.6355555555555555,1.0000000000000004,0.8896045775843622,0.5972801417708398,0.18712674802541734,0.0,0.8475309746603192,0.0,0.22203712217571556,0.5743377050658551,0.0,0.0,0.4237654873301596,0.11101856108785778,3.0,135.44593000000003,1.1517510000000002,-0.0115678,0.0,0.6,0.0,1.0
9.0,-23.457662,-170.30716453548004,-183.02487533971993,-23.457662,0.0,-2.3457662,-17.030716453548003,-18.30248753397199,0.7529962000000001,0.3900360000000001,1.0692909,0.06700379999999997,0.4346771999999999,2.8086418,316.2514841,3.4,3.4,0.6700379999999998,28.086418000000002,3162.514841,7.0,7.0,0.9,1.0,0.1,0.0,1.0,0.0,0.1,0.7,0.0,0.0,0.927599310874939,500.0,0.094,0.63375,1.000000000000011,0.8912689553333284,0.605672598540783,0.1893407726883888,0.0,0.9370556649137161,0.0,0.2278167509539584,0.6925943280151966,0.0,0.0,0.46852783245685803,0.1139083754769792,3.0,484.6630885000001,4.1212846999999995,0.0030888999999999973,0.0,0.6,0.1,0.9
