episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-19.557009,-684.1391225657857,-684.1391225657857,-19.557009,0.0,-1.9557009,-68.41391225657857,-68.41391225657857,0.5237136000000001,0.39197800000000005,0.2376802,0.2962863999999999,1.4927443999999999,2.8614565,291.1001476,0.8,0.8,2.962863999999999,27.226882,2911.001476,1.0,1.0,0.2,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,1.0971295833587646,500.0,0.1,0.65,1.000000000000042,0.18709322522716518,0.17969389694929122,0.14027834165096284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,510.5552188,4.341455999999999,0.005485499999999999,0.0,0.6,0.1,0.6
1.0,-4.265146,-40.91360964631835,-40.91360964631835,-4.265146,0.0,-0.42651459999999997,-4.091360964631835,-4.091360964631835,0.7508129000000001,0.3866149000000001,0.9504807999999999,0.06918709999999997,0.45651019999999987,0.02063880000000009,0.0,2.9,2.9,0.6918709999999998,0.05975400000000031,0.0,5.0,5.0,0.8,1.0,0.2,0.0,1.0,0.0,0.2,0.5,0.0,0.0,1.0971295833587646,500.0,0.09933333333333334,0.6481944444444445,0.9999999999999905,0.7759037541117191,0.574967664450407,0.22855309200286866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,117.8074294,1.0017638999999998,-0.012179100000000002,0.0055556,0.6,0.0,0.7
2.0,-17.316078,-353.2800701488117,-353.2800701488117,-17.316078,0.0,-1.7316078000000001,-35.32800701488117,-35.32800701488117,0.4298255,0.4184570000000001,0.5942005,0.39017449999999987,2.2877006999999994,0.0,0.0,1.9,1.9,3.9017449999999987,0.0,0.0,2.0,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,1.0971295833587646,500.0,0.09866666666666667,0.6463888888888889,1.0,0.5000005000000001,0.3299999999999999,0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.178372,0.4607004,-0.009756699999999998,0.0,0.6,0.0,0.4
3.0,-13.750337999999998,-66.30397996409042,-66.30397996409042,-13.750337999999998,0.0,-1.3750337999999998,-6.630397996409042,-6.630397996409042,0.7529962000000001,0.3900360000000001,1.0674504999999999,0.06700379999999997,0.4346771999999999,10.918600399999999,552.2090585,3.6,2.7,0.6700379999999998,12.213515000000001,613.565622,6.0,5.0,0.9,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0971295833587646,500.0,0.098,0.6445833333333334,1.0000000000000142,0.8867365701628686,0.6059806705117226,0.21270062720775607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,281.17051869999995,2.191926,-0.0382432,0.0,0.6,0.0,0.4
4.0,-15.839507000000001,-403.74310663318374,-403.74310663318374,-15.839507000000001,0.0,-1.5839507000000002,-40.374310663318376,-40.374310663318376,0.5087935,0.3990908,0.3565203,0.3112064999999999,1.4778242999999995,7.4888553,276.69763349999994,0.0,0.0,3.112064999999999,8.310088,307.4418149999999,0.0,0.0,0.3,1.0,0.3,0.0,1.0,0.0,0.3,0.0,0.0,0.0,1.0971295833587646,500.0,0.09733333333333334,0.6427777777777778,1.0,0.3000007,0.20199999999999996,0.05200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,232.9891815,1.5169149000000002,-0.0195115,0.0,0.6,0.0,0.0
5.0,-38.29592,-1585.8933965554181,-1585.8933965554181,-38.29592,0.0,-3.8295920000000003,-158.5893396555418,-158.5893396555418,0.7675314000000001,0.3845588000000001,0.9504807999999999,0.052468599999999976,0.30604369999999986,58.50811709999999,6622.038992299999,1.1,1.1,0.5246859999999998,116.46647099999998,13072.028374999998,2.0,2.0,0.8,1.0,0.7,0.0,1.0,0.0,0.7,0.2,0.0,0.0,1.0971295833587646,500.0,0.09666666666666668,0.6409722222222223,1.0000000000000027,0.7854207051064491,0.581325585961342,0.25571260203421114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1676.8762173999999,14.2591517,0.2091695,0.0125,0.6,0.7,0.3
6.0,-42.411308000000005,-1819.0562245466585,-1819.0562245466585,-42.411308000000005,0.0,-4.2411308000000005,-181.90562245466586,-181.90562245466586,0.5386337000000001,0.3848652,0.1188401,0.28136629999999985,1.3137031999999993,40.44520899999999,3946.2796987999996,0.0,0.0,2.8136629999999987,79.89603699999999,7713.462536000001,0.0,0.0,0.1,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,1.0971295833587646,500.0,0.096,0.6391666666666667,1.0,0.10000089999999999,0.074,0.024000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1191.1521811,10.0625186,0.0011948999999999987,0.0,0.6,0.3,0.0
7.0,2.747948999999998,37.53369221077668,37.53369221077668,2.747948999999998,0.0,0.2747948999999998,3.753369221077668,3.753369221077668,0.7718980000000001,0.39140100000000005,1.1881009999999999,0.04810199999999998,0.2645609999999999,0.0,0.0,1.8,1.8,0.4810199999999998,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0971295833587646,500.0,0.09533333333333334,0.6373611111111112,0.9999999999999408,0.9839938193559646,0.6974551352858545,0.2729204274713993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,135.44593000000003,1.1517510000000002,-0.0194524,0.0,0.6,0.0,1.0
8.0,-8.113521,-60.770360367823464,-60.770360367823464,-8.113521,0.0,-0.8113521,-6.077036036782347,-6.077036036782347,0.7034835,0.39681220000000006,1.0693209,0.11651649999999995,0.35972269999999984,0.061081299999999984,0.0,4.2,4.0,1.1651649999999996,0.08725899999999998,0.0,6.0,5.0,0.9,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,1.0971295833587646,500.0,0.09466666666666668,0.6355555555555555,1.000000000000035,0.870984643710947,0.6600596108138561,0.26891231937706467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,135.44593000000003,1.1517510000000002,-0.0173752,0.0,0.6,0.0,1.0
9.0,-53.058071,-4107.052751708752,-4107.052751708752,-53.058071,0.0,-5.3058071,-410.7052751708752,-410.7052751708752,0.5139308,0.41201740000000003,0.7129806,0.30606919999999993,1.3644275999999997,75.0653711,8165.718723299999,0.8,0.8,3.0606919999999995,143.30394099999998,15416.585572,1.0,1.0,0.6,1.0,0.6,0.0,1.0,0.0,0.6,0.1,0.0,0.0,1.0971295833587646,500.0,0.094,0.63375,1.0,0.6000004000000001,0.394,0.09400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1877.2681237000002,15.896837600000001,0.1211087,0.0,0.6,0.6,0.3
