episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.2,0.0,1.0,0.0,0.2,0.3,0.0,0.0,0.0,0.098,0.0,0.018000000000000002,0.044,0.0,0.0,0.049,0.009000000000000001
1.0,1.0,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.19502000000000003,0.0,0.07582,0.027559999999999994,0.0,0.0,0.09751000000000001,0.03791
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.29106980000000005,0.0,0.0730618,0.1112844,0.0,0.0,0.14553490000000002,0.0365309
3.0,1.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.080331182,0.094171556,0.0,0.0,0.19307955100000002,0.040165591
4.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.48029751098000006,0.0,0.12752787018,0.17722984044,0.0,0.0,0.24014875549000003,0.06376393509
5.0,1.0,0.3,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.0,0.5734945358702,0.0,0.1542525914782,0.2794575420356,0.0,0.0,0.2867472679351,0.0771262957391
6.0,1.0,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.665759590511498,0.0,0.210710065563418,0.260662966615244,0.0,0.0,0.332879795255749,0.105355032781709
7.0,1.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.757101994606383,0.0,0.2266029649077838,0.24205633694909157,0.0,0.0,0.3785509973031915,0.1133014824538919
8.0,1.0,0.2,0.0,1.0,0.0,0.2,0.6,0.0,0.0,0.0,0.8475309746603192,0.0,0.24233693525870598,0.3436357735796006,0.0,0.0,0.4237654873301596,0.12116846762935299
9.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.9370556649137161,0.0,0.28791356590611894,0.4241994158438046,0.0,0.0,0.46852783245685803,0.14395678295305947
10.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0256851082645788,0.0,0.3530344302470578,0.4039574216853665,0.0,0.0,0.5128425541322894,0.1765172151235289
11.0,1.0,0.3,0.0,1.0,0.0,0.3,0.4,0.0,0.0,0.0,1.1134282571819332,0.0,0.3775040859445872,0.46391784746851283,0.0,0.0,0.5567141285909666,0.1887520429722936
12.0,1.0,0.1,0.0,1.0,0.0,0.1,0.4,0.0,0.0,0.0,1.200293974610114,0.0,0.3817290450851413,0.5232786689938277,0.0,0.0,0.600146987305057,0.19086452254257066
13.0,1.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.2862910348640129,0.0,0.3959117546342899,0.5020458823038894,0.0,0.0,0.6431455174320064,0.19795587731714495
14.0,1.0,0.2,0.0,1.0,0.0,0.2,0.6,0.0,0.0,0.0,1.3714281245153728,0.0,0.409952637087947,0.6010254234808504,0.0,0.0,0.6857140622576864,0.2049763185439735
15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455713843270219,0.0,0.40385311071706753,0.5790151692460419,0.0,0.0,0.7278569216351095,0.20192655535853377
16.0,1.0,0.1,0.0,1.0,0.0,0.1,0.7,0.0,0.0,0.0,1.539156704837517,0.0,0.40781457960989687,0.6972250175535815,0.0,0.0,0.7695783524187585,0.20390728980494843
17.0,1.0,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,1.621765137789142,0.0,0.4317364338137979,0.7342527673780457,0.0,0.0,0.810882568894571,0.21586821690689895
18.0,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.0,1.7035474864112508,0.0,0.4354190694756599,0.8109102397042652,0.0,0.0,0.8517737432056254,0.21770953473782995
19.0,1.0,0.7,0.0,1.0,0.0,0.7,0.2,0.1,0.0,0.0,1.7845120115471382,0.0,0.4990648787809033,0.8268011373072226,0.010000000000000002,0.0,0.8922560057735691,0.24953243939045164
20.0,1.0,0.4,0.0,1.0,0.0,0.4,0.5,0.0,0.0,0.0,1.8646668914316669,0.0,0.5320742299930943,0.9025331259341504,0.009900000000000003,0.0,0.9323334457158334,0.26603711499654714
21.0,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.0,1.9440202225173502,0.0,0.5647534876931634,0.8975077946748089,0.009801000000000002,0.0,0.9720101112586751,0.2823767438465817
22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0225800202921764,0.0,0.5571059528162318,0.8725327167280608,0.009702990000000002,0.0,1.0112900101460882,0.2785529764081159
23.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,2.1003542200892547,0.0,0.6195348932880694,0.8478073895607802,0.009605960100000002,0.0,1.0501771100446273,0.3097674466440347
24.0,1.0,0.5,0.0,1.0,0.0,0.5,0.4,0.0,0.0,0.0,2.177350677888362,0.0,0.6613395443551888,0.9033293156651723,0.009509900499000001,0.0,1.088675338944181,0.3306697721775944
25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253577171109478,0.0,0.6527261489116369,0.8782960225085206,0.009414801494010002,0.0,1.126788585554739,0.32636307445581847
26.0,1.0,0.7,0.0,1.0,0.0,0.7,0.1,0.1,0.0,0.0,2.329041399398383,0.0,0.7141988874225205,0.8735130622834354,0.019320653479069902,0.0,1.1645206996991915,0.35709944371126023
27.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3,0.0,0.0,2.403750985404399,0.0,0.8050568985482952,0.848777931660601,0.0491274469442792,0.0,1.2018754927021995,0.4025284492741476
28.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,2.4777134755503547,0.0,0.8450063295628123,0.9242901523439949,0.04863617247483641,0.0,1.2388567377751774,0.42250316478140615
29.0,1.0,0.1,0.0,1.0,0.0,0.1,0.3,0.0,0.0,0.0,2.550936340794851,0.0,0.8445562662671842,0.959047250820555,0.04814981075008805,0.0,1.2754681703974255,0.4222781331335921
30.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.0,2.6234269773869023,0.0,0.9341107036045123,0.9334567783123494,0.05766831264258717,0.0,1.3117134886934512,0.46705535180225616
31.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.1,0.0,0.0,2.695192707613033,0.0,0.9927695965684671,0.9081222105292259,0.0670916295161613,0.0,1.3475963538065165,0.49638479828423354
32.0,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.0,2.7662407805369025,0.0,1.0208419006027825,0.9030409884239337,0.06642071322099968,0.0,1.3831203902684512,0.5104209503013912
33.0,1.0,0.3,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.0,2.8365783727315335,0.0,1.0386334815967546,0.9980105785396943,0.06575650608878969,0.0,1.4182891863657667,0.5193167407983773
34.0,1.0,0.4,0.0,1.0,0.0,0.4,0.2,0.0,0.0,0.0,2.906212589004218,0.0,1.066247146780787,1.0120304727542973,0.0650989410279018,0.0,1.453106294502109,0.5331235733903935
35.0,1.0,0.8,0.0,1.0,0.0,0.8,0.3,0.1,0.0,0.0,2.9751504631141756,0.0,1.1335846753129792,1.0459101680267544,0.07444795161762277,0.0,1.4875752315570878,0.5667923376564896
36.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3,0.0,0.0,3.0433989584830337,0.0,1.2202488285598496,1.0194510663464869,0.10370347210144654,0.0,1.5216994792415168,0.6101244142799248
37.0,1.0,0.2,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.0,3.110964968898203,0.0,1.2260463402742512,1.073256555683022,0.10266643738043207,0.0,1.5554824844491015,0.6130231701371256
38.0,1.0,0.4,0.0,1.0,0.0,0.4,0.6,0.0,0.0,0.0,3.177855319209221,0.0,1.2517858768715087,1.166523990126192,0.10163977300662776,0.0,1.5889276596046105,0.6258929384357543
39.0,1.0,0.1,0.0,1.0,0.0,0.1,0.4,0.0,0.0,0.0,3.2440767660171286,0.0,1.2472680181027935,1.21885875022493,0.10062337527656148,0.0,1.6220383830085643,0.6236340090513968
40.0,1.0,0.7,0.0,1.0,0.0,0.7,0.7,0.1,0.0,0.0,3.309635998356957,0.0,1.3027953379217656,1.3306701627226807,0.10961714152379587,0.0,1.6548179991784786,0.6513976689608828
41.0,1.0,0.7,0.0,1.0,0.0,0.7,0.1,0.0,0.0,0.0,3.3745396383733874,0.0,1.357767384542548,1.3213634610954539,0.10852097010855791,0.0,1.6872698191866937,0.678883692271274
