episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-19.557009,-684.1391225657857,-684.1391225657857,-19.557009,0.0,-1.9557009,-68.41391225657857,-68.41391225657857,0.5237136000000001,0.39197800000000005,0.2376802,0.2962863999999999,1.4927443999999999,2.8614565,291.1001476,0.8,0.8,2.962863999999999,27.226882,2911.001476,1.0,1.0,0.2,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,1.0971295833587646,500.0,0.1,0.65,1.000000000000042,0.18709322522716518,0.17969389694929122,0.14027834165096284,0.0,0.098,0.0,0.038000000000000006,0.004000000000000001,0.0,0.0,0.049,0.019000000000000003,3.0,510.5552188,4.341455999999999,0.005485499999999999,0.0,0.6,0.1,0.6
1.0,-4.265146,-40.91360964631835,-41.98960964631834,-4.265146,0.0,-0.42651459999999997,-4.091360964631835,-4.198960964631834,0.7508129000000001,0.3866149000000001,0.9504807999999999,0.06918709999999997,0.45651019999999987,0.02063880000000009,0.0,2.9,2.9,0.6918709999999998,0.05975400000000031,0.0,5.0,5.0,0.8,1.0,0.2,0.0,1.0,0.0,0.2,0.5,0.0,0.0,1.0971295833587646,500.0,0.09933333333333334,0.6481944444444445,0.9999999999999905,0.7759037541117191,0.574967664450407,0.22855309200286866,0.0,0.19502000000000003,0.0,0.05562000000000001,0.08796000000000001,0.0,0.0,0.09751000000000001,0.027810000000000005,3.0,117.8074294,1.0017638999999998,-0.012179100000000002,0.0055556,0.6,0.0,0.7
2.0,-17.316078,-353.2800701488117,-355.40619014881173,-17.316078,0.0,-1.7316078000000001,-35.32800701488117,-35.54061901488117,0.4298255,0.4184570000000001,0.5942005,0.39017449999999987,2.2877006999999994,0.0,0.0,1.9,1.9,3.9017449999999987,0.0,0.0,2.0,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,1.0971295833587646,500.0,0.09866666666666667,0.6463888888888889,1.0,0.5000005000000001,0.3299999999999999,0.08000000000000002,0.0,0.29106980000000005,0.0,0.05306380000000001,0.11108040000000002,0.0,0.0,0.14553490000000002,0.026531900000000004,3.0,54.178372,0.4607004,-0.009756699999999998,0.0,0.6,0.0,0.4
3.0,-13.751424000000002,-66.3298132221832,-70.0612322221832,-13.751424000000002,0.0,-1.3751424,-6.6329813222183205,-7.006123222218319,0.7529962000000001,0.3900360000000001,1.0674504999999999,0.06700379999999997,0.4346771999999999,10.9225495,552.6735314,3.6,2.7,0.6700379999999998,12.217894000000001,614.0817030000001,6.0,5.0,0.9,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0971295833587646,500.0,0.098,0.6445833333333334,1.0000000000000309,0.8867422640455722,0.605967036396265,0.21271263203024865,0.0,0.38615910200000003,0.0,0.10053316200000001,0.19396959600000002,0.0,0.0,0.19307955100000002,0.050266581000000005,3.0,281.22212679999996,2.1923649000000003,-0.0382358,0.0,0.6,0.0,0.4
4.0,-15.841767999999998,-403.78225044387113,-407.9454409498711,-15.841767999999998,0.0,-1.5841767999999998,-40.378225044387115,-40.79454409498711,0.5087935,0.3990908,0.3565203,0.3112064999999999,1.4778242999999995,7.497090300000001,277.66612619999995,0.0,0.0,3.112064999999999,8.319238000000002,308.5179179999999,0.0,0.0,0.3,1.0,0.3,0.0,1.0,0.0,0.3,0.0,0.0,0.0,1.0971295833587646,500.0,0.09733333333333334,0.6427777777777778,1.0,0.3000007,0.20199999999999996,0.05200000000000001,0.0,0.48029751098000006,0.0,0.12752783037999998,0.17602990004000002,0.0,0.0,0.24014875549000003,0.06376391518999999,3.0,233.09679180000003,1.5178299000000002,-0.0194903,0.0,0.6,0.0,0.0
5.0,-38.295902000000005,-1585.8891172128588,-1591.9368469353988,-38.295902000000005,0.0,-3.8295902000000006,-158.58891172128588,-159.19368469353986,0.7675314000000001,0.3845588000000001,0.9504807999999999,0.052468599999999976,0.30604369999999986,58.508169099999996,6622.077012500001,1.1,1.1,0.5246859999999998,116.46619100000001,13072.102585,2.0,2.0,0.8,1.0,0.7,0.0,1.0,0.0,0.7,0.2,0.0,0.0,1.0971295833587646,500.0,0.09666666666666668,0.6409722222222223,1.0000000000000746,0.7854344684149742,0.5811688045859338,0.2553784783631563,0.0,0.5734945358702,0.0,0.19425255207619996,0.1982696010396,0.0,0.0,0.2867472679351,0.09712627603809998,3.0,1676.8762173999999,14.2591517,0.2091695,0.0125,0.6,0.7,0.3
6.0,-42.41047900000001,-1818.929185675597,-1826.4124040029849,-42.41047900000001,0.0,-4.241047900000001,-181.8929185675597,-182.6412404002985,0.5386337000000001,0.3848652,0.1188401,0.28136629999999985,1.3137031999999993,40.497385599999994,3943.2828626,0.0,0.0,2.8136629999999987,79.89268299999999,7702.920414,0.0,0.0,0.1,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,1.0971295833587646,500.0,0.096,0.6391666666666667,1.0,0.10000089999999999,0.074,0.024000000000000004,0.0,0.665759590511498,0.0,0.28031002655543796,0.18028690502920403,0.0,0.0,0.332879795255749,0.14015501327771898,3.0,1191.1127036999999,10.062182599999996,0.0010324000000000028,0.0,0.6,0.3,0.0
7.0,2.7480350000000007,37.53371585227314,29.974685422012143,2.7480350000000007,0.0,0.2748035000000001,3.753371585227314,2.997468542201214,0.7718980000000001,0.39140100000000005,1.1881009999999999,0.04810199999999998,0.2645609999999999,0.0,0.0,1.8,1.8,0.4810199999999998,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0971295833587646,500.0,0.09533333333333334,0.6373611111111112,1.000000000000051,0.984010457098484,0.6973708418011666,0.2727986313402652,0.0,0.757101994606383,0.0,0.2755069262898836,0.262484035978912,0.0,0.0,0.3785509973031915,0.1377534631449418,3.0,135.44593000000003,1.1517510000000002,-0.0194524,0.0,0.6,0.0,1.0
8.0,-8.113506,-60.770352757027865,-69.92929980927613,-8.113506,0.0,-0.8113505999999999,-6.077035275702786,-6.992929980927613,0.7034835,0.39681220000000006,1.0693209,0.11651649999999995,0.35972269999999984,0.06107150000000017,0.0,4.2,4.0,1.1651649999999996,0.08724500000000024,0.0,6.0,5.0,0.9,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,1.0971295833587646,500.0,0.09466666666666668,0.6355555555555555,1.0000000000000642,0.8711421519649981,0.6598791838288308,0.26905222913622856,0.0,0.8475309746603192,0.0,0.2807518570269848,0.3438591956191229,0.0,0.0,0.4237654873301596,0.1403759285134924,3.0,135.44593000000003,1.1517510000000002,-0.0173752,0.0,0.6,0.0,1.0
9.0,-53.058071,-4107.052751708752,-4117.556431793137,-53.058071,0.0,-5.3058071,-410.7052751708752,-411.75564317931367,0.5139308,0.41201740000000003,0.7129806,0.30606919999999993,1.3644275999999997,75.0653711,8165.718723299999,0.8,0.8,3.0606919999999995,143.30394099999998,15416.585572,1.0,1.0,0.6,1.0,0.6,0.0,1.0,0.0,0.6,0.1,0.0,0.0,1.0971295833587646,500.0,0.094,0.63375,1.0,0.6000004000000001,0.394,0.09400000000000001,0.0,0.9370556649137161,0.0,0.33594433845671495,0.3444206036629317,0.0,0.0,0.46852783245685803,0.16797216922835748,3.0,1877.2681237000002,15.896837600000001,0.1211087,0.0,0.6,0.6,0.3
