episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.1,0.0,1.0,0.0,0.1,0.3,0.0,0.0,0.0,0.098,0.0,0.008,0.044,0.0,0.0,0.049,0.004
1.0,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.0,0.19502000000000003,0.0,0.04592,0.04756,0.0,0.0,0.09751000000000001,0.02296
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.29106980000000005,0.0,0.0434608,0.0510844,0.0,0.0,0.14553490000000002,0.0217304
3.0,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.131026192,0.034573556,0.0,0.0,0.19307955100000002,0.065513096
4.0,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.48029751098000006,0.0,0.16771593008000002,0.01822782044,0.0,0.0,0.24014875549000003,0.08385796504000001
5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5734945358702,0.0,0.1640387707792,0.0420455422356,0.0,0.0,0.2867472679351,0.0820193853896
6.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.665759590511498,0.0,0.23039838307140798,0.025625086813244005,0.0,0.0,0.332879795255749,0.11519919153570399
7.0,1.0,0.4,0.0,1.0,0.0,0.4,0.3,0.0,0.0,0.0,0.757101994606383,0.0,0.2660943992406939,0.06936883594511156,0.0,0.0,0.3785509973031915,0.13304719962034695
8.0,1.0,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.8475309746603192,0.0,0.2914334552482869,0.11267514758566044,0.0,0.0,0.4237654873301596,0.14571672762414345
9.0,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.0,0.9370556649137161,0.0,0.326519120695804,0.11554839610980384,0.0,0.0,0.46852783245685803,0.163259560347902
10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0256851082645788,0.0,0.32125392948884596,0.15839291214870582,0.0,0.0,0.5128425541322894,0.16062696474442298
11.0,1.0,0.3,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,1.1134282571819332,0.0,0.3460413901939575,0.14080898302721878,0.0,0.0,0.5567141285909666,0.17302069509697876
12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,1.200293974610114,0.0,0.34058097629201795,0.2034008931969466,0.0,0.0,0.600146987305057,0.17029048814600897
13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,1.2862910348640129,0.0,0.33517516652909773,0.20536688426497712,0.0,0.0,0.6431455174320064,0.16758758326454887
14.0,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1.3714281245153728,0.0,0.36982341486380677,0.18731321542232737,0.0,0.0,0.6857140622576864,0.18491170743190338
15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,1.455713843270219,0.0,0.3641251807151687,0.2294400832681041,0.0,0.0,0.7278569216351095,0.18206259035758435
16.0,1.0,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,1.539156704837517,0.0,0.388483928908017,0.2711456824354231,0.0,0.0,0.7695783524187585,0.1942419644540085
17.0,1.0,0.1,0.0,1.0,0.0,0.1,0.2,0.0,0.0,0.0,1.621765137789142,0.0,0.3925990896189368,0.29243422561106885,0.0,0.0,0.810882568894571,0.1962995448094684
18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,1.7035474864112508,0.0,0.3866730987227474,0.31350988335495816,0.0,0.0,0.8517737432056254,0.1933365493613737
19.0,1.0,0.1,0.0,1.0,0.0,0.1,0.6,0.0,0.0,0.0,1.7845120115471382,0.0,0.39080636773551997,0.41437478452140863,0.0,0.0,0.8922560057735691,0.19540318386775998
