episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-17.421977,-94.95089750455276,-94.95089750455276,-17.421977,0.0,-1.7421976999999997,-9.495089750455275,-9.495089750455275,0.46132509999999993,0.43387000000000003,1.0695009,0.35867489999999996,1.6013616,0.03718950000000021,0.0,2.5,1.6,3.5867489999999997,0.07437900000000042,0.0,4.0,3.0,0.9,1.0,0.1,0.0,1.0,0.0,0.1,0.3,0.0,0.0,0.638555645942688,500.0,0.1,0.65,0.9999999999999805,0.8878942223025323,0.6317922133803369,0.21957943862676615,0.0,0.098,0.0,0.008,0.044,0.0,0.0,0.049,0.004,3.0,201.8626413,1.1803085999999998,0.0003103000000000005,0.0163744,0.6,0.0,0.3
1.0,-10.673684999999999,-112.19339294962484,-113.24939294962482,-10.673684999999999,0.0,-1.0673685,-11.219339294962484,-11.324939294962482,0.5257579,0.41998100000000005,0.9506308000000001,0.29424209999999995,1.2487046999999998,0.7422729000000002,6.856437200000005,0.7,0.7,2.9424209999999995,3.7208010000000007,68.56437200000005,1.0,1.0,0.8,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.638555645942688,500.0,0.09933333333333334,0.6481944444444445,0.9999999999999837,0.7828523478176117,0.5562166511714459,0.18751601096987724,0.0,0.19502000000000003,0.0,0.04592,0.04756,0.0,0.0,0.09751000000000001,0.02296,3.0,230.44551719999998,1.3693488999999999,0.0026441999999999993,0.0,0.6,0.0,0.3
2.0,-6.875705,-268.60840002668385,-270.6061600266839,-6.875705,0.0,-0.6875705,-26.860840002668386,-27.06061600266839,0.47895329999999997,0.4133164000000001,0.5942005,0.3410466999999999,1.6270252999999997,0.0,0.0,0.8,0.8,3.4104669999999992,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.638555645942688,500.0,0.09866666666666667,0.6463888888888889,0.9999999999999722,0.4947659062509537,0.3479467809200286,0.10438620984554292,0.0,0.29106980000000005,0.0,0.0434608,0.0510844,0.0,0.0,0.14553490000000002,0.0217304,3.0,114.34130450000002,0.6014638999999999,-0.0157222,0.0058824,0.6,0.0,0.4
3.0,-45.337598,-1603.6420133047347,-1606.9438585047346,-45.337598,0.0,-4.5337598,-160.36420133047346,-160.69438585047345,0.4640332,0.42042920000000006,0.7130406,0.3559667999999999,1.6419453999999998,55.878405599999994,7567.304588800001,0.0,0.0,3.5596679999999994,84.762923,11275.549074999999,0.0,0.0,0.6,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.638555645942688,500.0,0.098,0.6445833333333334,0.9999999999999787,0.5950189772776604,0.4100083311796189,0.12448397317528723,0.0,0.38615910200000003,0.0,0.131026192,0.034573556,0.0,0.0,0.19307955100000002,0.065513096,3.0,1574.7173144000003,10.4147969,0.09133580000000004,0.0,0.6,0.6,0.1
4.0,-30.118924000000003,-683.802533729906,-688.188229517906,-30.118924000000003,0.0,-3.0118924000000002,-68.38025337299061,-68.81882295179061,0.39998529999999993,0.4326826,0.8318806999999999,0.42001469999999996,2.1981800999999996,16.5527805,2180.7907275000002,0.0,0.0,4.200146999999999,45.293279,6122.248462,0.0,0.0,0.7,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.638555645942688,500.0,0.09733333333333334,0.6427777777777778,0.9999999999999748,0.686134530196476,0.4935010472238064,0.18513103517889973,0.0,0.48029751098000006,0.0,0.16771593008000002,0.01822782044,0.0,0.0,0.24014875549000003,0.08385796504000001,3.0,875.2478942,5.633914800000001,0.0651569,0.0,0.6,0.4,0.3
5.0,12.576459999999999,-60.68497838065207,-65.52440913133206,12.576459999999999,0.0,1.2576459999999998,-6.068497838065207,-6.552440913133206,0.7340944000000001,0.3886710000000001,0.9504807999999999,0.08590559999999998,0.6236952,0.0,0.0,0.6,0.6,0.8590559999999998,0.0,0.0,2.0,2.0,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.638555645942688,500.0,0.09666666666666668,0.6409722222222223,0.9999999999999927,0.7819134789969444,0.5633803946971894,0.19204300698637958,0.0,0.5734945358702,0.0,0.1640387707792,0.0420455422356,0.0,0.0,0.2867472679351,0.0820193853896,3.0,165.46081099999998,1.0943179999999997,-0.026433400000000003,0.0,0.6,0.0,1.0
6.0,-37.131730000000005,-1056.307312604913,-1063.1905293590692,-37.131730000000005,0.0,-3.7131730000000003,-105.6307312604913,-106.31905293590691,0.4640332,0.4318632,0.7100207999999999,0.3559667999999999,1.6568654999999997,20.481211799999997,2592.966166,0.0,0.0,3.5596679999999994,63.017574999999994,8551.436405,0.0,0.0,0.6,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.638555645942688,500.0,0.096,0.6391666666666667,1.0000000000000377,0.5924003232053756,0.4128474461436271,0.13047512689232826,0.0,0.665759590511498,0.0,0.23039838307140798,0.025625086813244005,0.0,0.0,0.332879795255749,0.11519919153570399,3.0,1211.0282487,8.0094462,0.0707086,0.0,0.6,0.3,0.0
7.0,-23.301797999999998,-530.9764386945504,-538.6325033923906,-23.301797999999998,0.0,-2.3301798,-53.09764386945504,-53.86325033923906,0.5175276,0.42213080000000003,0.9506608,0.3024724,1.1810569999999996,17.5434334,2660.5316295000002,1.0,1.0,3.0247239999999995,59.20521,8948.623744,3.0,3.0,0.8,1.0,0.4,0.0,1.0,0.0,0.4,0.3,0.0,0.0,0.638555645942688,500.0,0.09533333333333334,0.6373611111111112,1.0000000000000002,0.7841749629642487,0.5470432112812997,0.16672859308123583,0.0,0.757101994606383,0.0,0.2660943992406939,0.06936883594511156,0.0,0.0,0.3785509973031915,0.13304719962034695,3.0,1104.3034735,7.148832599999999,0.07511340000000001,0.0200001,0.6,0.3,0.0
8.0,-21.469606,-120.69614866525778,-129.27355831687902,-21.469606,0.0,-2.1469606,-12.069614866525779,-12.927355831687901,0.43637629999999994,0.4380759,1.0695309000000002,0.3836236999999999,1.7864167999999996,5.834219200000001,869.2148492,0.6,0.6,3.8362369999999992,18.96929,2796.5828,3.0,3.0,0.9,1.0,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.638555645942688,500.0,0.09466666666666668,0.6355555555555555,0.9999999999999808,0.8745240648222923,0.6363845696151257,0.2775145549178123,0.0,0.8475309746603192,0.0,0.2914334552482869,0.11267514758566044,0.0,0.0,0.4237654873301596,0.14571672762414345,3.0,509.97769550000004,3.2181065,0.0372263,0.0117648,0.6,0.3,0.4
9.0,-19.269395,-797.153104387789,-806.906823102971,-19.269395,0.0,-1.9269395,-79.7153104387789,-80.69068231029709,0.7529962000000001,0.3900360000000001,1.0692909,0.06700379999999997,0.4346771999999999,20.4980455,3140.2088797999995,0.8,0.8,0.6700379999999998,80.119072,12266.187837,1.0,1.0,0.9,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.638555645942688,500.0,0.094,0.63375,0.9999999999999905,0.8858569790555,0.6198766087591648,0.205996265694499,0.0,0.9370556649137161,0.0,0.326519120695804,0.11554839610980384,0.0,0.0,0.46852783245685803,0.163259560347902,3.0,1513.2284398000002,10.0081248,0.08494569999999999,0.0,0.6,0.4,0.6
