episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.6,0.0,1.0,0.0,0.6,0.8,0.0,0.0,0.0,0.098,0.0,0.057999999999999996,0.14400000000000002,0.0,0.0,0.049,0.028999999999999998
1.0,1.0,0.4,0.0,1.0,0.0,0.4,0.5,0.0,0.0,0.0,0.19502000000000003,0.0,0.09542,0.22656000000000004,0.0,0.0,0.09751000000000001,0.04771
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29106980000000005,0.0,0.0924658,0.26829440000000004,0.0,0.0,0.14553490000000002,0.0462329
3.0,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.17954114200000001,0.249611456,0.0,0.0,0.19307955100000002,0.08977057100000001
4.0,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.48029751098000006,0.0,0.21574573058000002,0.23111534144,0.0,0.0,0.24014875549000003,0.10787286529000001
5.0,1.0,0.3,0.0,1.0,0.0,0.3,0.5,0.0,0.0,0.0,0.5734945358702,0.0,0.24158827327420002,0.3128041880256,0.0,0.0,0.2867472679351,0.12079413663710001
6.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.665759590511498,0.0,0.307172390541458,0.293676146145344,0.0,0.0,0.332879795255749,0.153586195270729
7.0,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.757101994606383,0.0,0.34210066663604344,0.27473938468389053,0.0,0.0,0.3785509973031915,0.17105033331802172
8.0,1.0,0.2,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.0,0.8475309746603192,0.0,0.35667965996968304,0.3359919908370516,0.0,0.0,0.4237654873301596,0.17833982998484152
9.0,1.0,0.4,0.0,1.0,0.0,0.4,0.8,0.0,0.0,0.0,0.9370556649137161,0.0,0.3911128633699862,0.4766320709286811,0.0,0.0,0.46852783245685803,0.1955564316849931
10.0,1.0,0.7,0.0,1.0,0.0,0.7,1.0,0.0,0.0,0.0,1.0256851082645788,0.0,0.45520173473628633,0.6558657502193943,0.0,0.0,0.5128425541322894,0.22760086736814317
11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,1.1134282571819332,0.0,0.44864971738892345,0.6733070927172004,0.0,0.0,0.5567141285909666,0.22432485869446173
12.0,1.0,0.3,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.0,1.200293974610114,0.0,0.4721632202150342,0.7705740217900283,0.0,0.0,0.600146987305057,0.2360816101075171
13.0,1.0,0.1,0.0,1.0,0.0,0.1,0.3,0.0,0.0,0.0,1.2862910348640129,0.0,0.4754415880128839,0.8068682815721281,0.0,0.0,0.6431455174320064,0.23772079400644194
