episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.098,0.0,0.0,0.004000000000000001,0.0,0.0,0.049,0.0
1.0,1.0,0.2,0.0,1.0,0.0,0.2,0.3,0.0,0.0,0.0,0.19502000000000003,0.0,0.018000000000000002,0.047959999999999996,0.0,0.0,0.09751000000000001,0.009000000000000001
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29106980000000005,0.0,0.01582,0.09148039999999999,0.0,0.0,0.14553490000000002,0.00791
3.0,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.10366180000000001,0.07456559599999998,0.0,0.0,0.19307955100000002,0.051830900000000006
4.0,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.0,0.48029751098000006,0.0,0.14062518200000002,0.07781994004,0.0,0.0,0.24014875549000003,0.07031259100000001
5.0,1.0,0.3,0.0,1.0,0.0,0.3,0.5,0.0,0.0,0.0,0.5734945358702,0.0,0.16721893018,0.1610417406396,0.0,0.0,0.2867472679351,0.08360946509
6.0,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.665759590511498,0.0,0.2335467408782,0.143431323233204,0.0,0.0,0.332879795255749,0.1167733704391
7.0,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.0,0.757101994606383,0.0,0.239211273469418,0.22599701000087197,0.0,0.0,0.3785509973031915,0.119605636734709
8.0,1.0,0.4,0.0,1.0,0.0,0.4,0.2,0.0,0.0,0.0,0.8475309746603192,0.0,0.27481916073472384,0.24773703990086324,0.0,0.0,0.4237654873301596,0.13740958036736192
9.0,1.0,0.1,0.0,1.0,0.0,0.1,0.7,0.0,0.0,0.0,0.9370556649137161,0.0,0.2800709691273766,0.3692596695018546,0.0,0.0,0.46852783245685803,0.1400354845636883
10.0,1.0,0.6,0.0,1.0,0.0,0.6,0.7,0.0,0.0,0.0,1.0256851082645788,0.0,0.33527025943610284,0.4895670728068361,0.0,0.0,0.5128425541322894,0.16763512971805142
11.0,1.0,0.3,0.0,1.0,0.0,0.3,0.2,0.0,0.0,0.0,1.1134282571819332,0.0,0.35991755684174176,0.5086714020787677,0.0,0.0,0.5567141285909666,0.17995877842087088
12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,1.200293974610114,0.0,0.3543183812733243,0.5275846880579801,0.0,0.0,0.600146987305057,0.17715919063666216
13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2862910348640129,0.0,0.3487751974605911,0.5463088411774003,0.0,0.0,0.6431455174320064,0.17438759873029555
14.0,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1.3714281245153728,0.0,0.38328744548598515,0.5248457527656263,0.0,0.0,0.6857140622576864,0.19164372274299257
15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,1.455713843270219,0.0,0.3774545710311253,0.62359729523797,0.0,0.0,0.7278569216351095,0.18872728551556264
