episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-12.292882,-388.5619528215245,-388.5619528215245,-12.292882,0.0,-1.2292882,-38.856195282152456,-38.856195282152456,0.5359256,0.39830600000000005,0.47530039999999996,0.2840743999999999,1.2581992999999998,0.0,0.0,1.9,1.0,2.840743999999999,0.0,0.0,2.0,1.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.554527223110199,500.0,0.1,0.65,0.9999999999999567,0.39361727335033425,0.29079910314083096,0.1104945028424263,0.0,0.098,0.0,0.0,0.004000000000000001,0.0,0.0,0.049,0.0,3.0,246.80953140000003,1.8997410000000001,0.0124054,0.0052632,0.6,0.0,0.0
1.0,-10.942146000000001,-93.19525012002919,-94.18725012002916,-10.942146000000001,0.0,-1.0942146000000001,-9.319525012002918,-9.418725012002916,0.6090925,0.40745700000000007,0.9505708,0.21090749999999997,0.8736989999999999,0.3044736,6.228533100000004,2.0,2.0,2.109075,2.923384,62.28533100000004,3.0,3.0,0.8,1.0,0.2,0.0,1.0,0.0,0.2,0.3,0.0,0.0,0.554527223110199,500.0,0.09933333333333334,0.6481944444444445,0.9999999999999808,0.7829513079192161,0.5562923840880394,0.18859217655658717,0.0,0.19502000000000003,0.0,0.018000000000000002,0.047959999999999996,0.0,0.0,0.09751000000000001,0.009000000000000001,3.0,157.4063431,1.1395097,-0.019778,0.0,0.6,0.0,0.6
2.0,-12.050557,-329.9873237047702,-332.08140370477014,-12.050557,0.0,-1.2050557,-32.998732370477015,-33.20814037047701,0.4938734,0.4062036000000001,0.4753604,0.32612659999999993,1.6568654999999999,0.0,0.0,2.1,2.1,3.261265999999999,0.0,0.0,3.0,3.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.554527223110199,500.0,0.09866666666666667,0.6463888888888889,1.00000000000003,0.39486549742994315,0.2840092886090278,0.09087090170383454,0.0,0.29106980000000005,0.0,0.01582,0.09148039999999999,0.0,0.0,0.14553490000000002,0.00791,3.0,109.35743199999999,0.7309305,-0.012809499999999998,0.0058824,0.6,0.0,0.4
3.0,-51.579317,-2996.0576918965216,-2999.110769896522,-51.579317,0.0,-5.157931700000001,-299.60576918965216,-299.9110769896522,0.5237136000000001,0.39197800000000005,0.2376802,0.2962863999999999,1.4927443999999999,76.37579199999999,7753.407354899998,0.0,0.0,2.962863999999999,116.078322,11618.209025999997,0.0,0.0,0.2,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.554527223110199,500.0,0.098,0.6445833333333334,1.0,0.20000080000000012,0.138,0.03800000000000001,0.0,0.38615910200000003,0.0,0.10366180000000001,0.07456559599999998,0.0,0.0,0.19307955100000002,0.051830900000000006,3.0,1612.8910609000002,13.715060099999999,0.0905695,0.0,0.6,0.6,0.1
4.0,-35.565160000000006,-1141.4238502528158,-1145.7746540688158,-35.565160000000006,0.0,-3.5565160000000007,-114.14238502528158,-114.57746540688159,0.4298255,0.41845699999999997,0.5942005,0.3901744999999999,2.0638991999999994,22.616558,2221.0259163,0.3,0.3,3.901744999999999,60.779053999999995,6195.999298,1.0,1.0,0.5,1.0,0.4,0.0,1.0,0.0,0.4,0.1,0.0,0.0,0.554527223110199,500.0,0.09733333333333334,0.6427777777777778,1.0000000000000289,0.4863167931799889,0.36554132267832756,0.15763036638498304,0.0,0.48029751098000006,0.0,0.14062518200000002,0.07781994004,0.0,0.0,0.24014875549000003,0.07031259100000001,3.0,876.3234299,7.252750400000001,0.0690573,0.0,0.6,0.4,0.3
5.0,-9.94895,-64.31920355325943,-69.93315390925947,-9.94895,0.0,-0.994895,-6.431920355325943,-6.993315390925948,0.7340944000000001,0.3886710000000001,0.9504807999999999,0.08590559999999998,0.6236952,0.025795900000000094,0.0,2.4,2.4,0.8590559999999998,0.1185900000000002,0.0,5.0,5.0,0.8,1.0,0.3,0.0,1.0,0.0,0.3,0.5,0.0,0.0,0.554527223110199,500.0,0.09666666666666668,0.6409722222222223,0.9999999999999627,0.7820406644310475,0.5635348437428476,0.1933466587662697,0.0,0.5734945358702,0.0,0.16721893018,0.1610417406396,0.0,0.0,0.2867472679351,0.08360946509,3.0,135.44593000000003,1.1517510000000002,-0.018401400000000002,0.0,0.6,0.0,1.0
6.0,-41.338989999999995,-1823.358221563097,-1830.2636994330592,-41.338989999999995,0.0,-4.1338989999999995,-182.3358221563097,-183.02636994330592,0.4938734,0.4062036,0.4753604,0.32612659999999993,1.4330639999999994,28.3614098,2616.4861723000004,0.0,0.0,3.261265999999999,84.633931,8652.236432000002,0.0,0.0,0.4,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.554527223110199,500.0,0.096,0.6391666666666667,1.0,0.4000006,0.266,0.066,0.0,0.665759590511498,0.0,0.2335467408782,0.143431323233204,0.0,0.0,0.332879795255749,0.1167733704391,3.0,1208.7305202,10.278321,0.0681653,0.0,0.6,0.3,0.0
7.0,-8.663705,-75.14036290227503,-82.74866216443422,-8.663705,0.0,-0.8663705,-7.514036290227503,-8.274866216443423,0.5175276,0.42213080000000003,0.9506608,0.3024724,1.1810569999999996,0.18514549999999996,8.040386100000001,1.9,1.9,3.0247239999999995,1.8514549999999996,80.403861,5.0,5.0,0.8,1.0,0.1,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.554527223110199,500.0,0.09533333333333334,0.6373611111111112,1.0000000000000333,0.7726209694411278,0.5872182191610336,0.24438715648651121,0.0,0.757101994606383,0.0,0.239211273469418,0.22599701000087197,0.0,0.0,0.3785509973031915,0.119605636734709,3.0,119.84527349999999,0.8201128000000001,-0.011002399999999999,0.0133334,0.6,0.0,0.3
8.0,-28.654833000000004,-768.2344608763287,-777.214319936272,-28.654833000000004,0.0,-2.8654833,-76.82344608763287,-77.72143199362719,0.5943114000000002,0.38998790000000005,0.47527040000000004,0.22568859999999993,0.9077655999999997,12.6248457,1449.6425330000002,1.7,1.7,2.2568859999999993,57.890906,6687.093461,2.0,2.0,0.4,1.0,0.4,0.0,1.0,0.0,0.4,0.2,0.0,0.0,0.554527223110199,500.0,0.09466666666666668,0.6355555555555555,1.0,0.4000006000000001,0.2659999999999999,0.06600000000000002,0.0,0.8475309746603192,0.0,0.27481916073472384,0.24773703990086324,0.0,0.0,0.4237654873301596,0.13740958036736192,3.0,944.1321975999999,8.028335,0.0768207,0.0,0.6,0.4,0.6
9.0,-22.946078,-149.37761262003113,-159.8619008066751,-22.946078,0.0,-2.2946078,-14.937761262003113,-15.986190080667509,0.7529962000000001,0.3900360000000001,1.0692909,0.06700379999999997,0.4346771999999999,2.6083410000000002,292.63817159999996,3.4,3.4,0.6700379999999998,26.08341,2926.381716,7.0,7.0,0.9,1.0,0.1,0.0,1.0,0.0,0.1,0.7,0.0,0.0,0.554527223110199,500.0,0.094,0.63375,0.999999999999941,0.8864606629444122,0.6198700675964356,0.20759820780158042,0.0,0.9370556649137161,0.0,0.2800709691273766,0.3692596695018546,0.0,0.0,0.46852783245685803,0.1400354845636883,3.0,461.04978,3.9204912,0.0037969,0.0,0.6,0.1,0.9
