condition,method,runs,average_accuracy,semantic_success_rate,task_success_rate,airspace_conflict_rate,deadline_violation_rate,average_delay,average_payload_kb,average_reward
peak,Proposed (constrained two-timescale),1,0.574±0.000,0.000±0.000,0.000±0.000,0.296±0.000,0.748±0.000,16.455±0.000,0.711±0.000,-5.863±0.000
peak,Semantic greedy,1,0.386±0.000,0.000±0.000,0.000±0.000,0.654±0.000,1.000±0.000,12.210±0.000,198.931±0.000,-6.382±0.000
peak,Always cache,1,0.313±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.178±0.000,0.000±0.000,-0.943±0.000
peak,Oracle (best feasible),1,0.684±0.000,0.000±0.000,0.000±0.000,0.402±0.000,0.642±0.000,6.158±0.000,0.763±0.000,-3.345±0.000
peak,Random,3,0.458±0.009,0.000±0.000,0.000±0.000,0.428±0.026,0.657±0.021,7.950±0.195,61.576±1.952,-4.317±0.144
nominal,Proposed (constrained two-timescale),1,0.632±0.000,0.943±0.000,0.279±0.000,0.000±0.000,0.721±0.000,12.565±0.000,2.047±0.000,-3.776±0.000
nominal,Semantic greedy,1,0.624±0.000,0.896±0.000,0.368±0.000,0.000±0.000,0.632±0.000,6.051±0.000,24.186±0.000,-1.870±0.000
nominal,Always cache,1,0.266±0.000,0.297±0.000,0.297±0.000,0.000±0.000,0.000±0.000,0.126±0.000,0.000±0.000,-0.605±0.000
nominal,Oracle (best feasible),1,0.655±0.000,0.899±0.000,0.366±0.000,0.000±0.000,0.613±0.000,7.207±0.000,106.197±0.000,-2.278±0.000
nominal,Random,3,0.472±0.005,0.649±0.006,0.317±0.003,0.000±0.000,0.470±0.003,4.824±0.038,43.393±0.961,-1.861±0.006
