policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,cache_eligible_ratio,average_q_defer,average_q_cache_stale,average_reward,seed,benchmark_policy,variant_kind
always_cache,normal_patrol,50,496,0.0,0.0,0.416225,0.508636,0.347866,0.192716,85.85,0.0,0.0,0.346739,0.762964,0.762964,0.65,0.82,1.672514,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465726,-1.072883,0,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.385081,0.056452,0.602492,0.815553,0.375996,5.200905,704.481423,1.079217,1.079217,0.180323,0.760524,0.790066,0.65,0.82,1.129966,7.78432,1253.840526,0.0,0.0,658.720175,4.356615,0.067713,0.078883,0.994402,0.614919,0.768145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.050403,0.0,0.0,-2.239455,0,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.429435,0.002016,0.475296,0.599631,0.365654,7.21866,767.271843,192.797155,192.797155,0.309226,0.762984,0.782226,0.65,0.82,1.938608,15.363676,1517.826386,0.0,0.0,550.185416,3.638792,0.05733,0.079972,0.0,0.570565,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.517284,0,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.415323,0.056452,0.461304,0.573733,0.352139,6.89401,807.22254,117.863303,117.863303,0.323014,0.761129,0.789138,0.65,0.82,2.011277,15.550953,1690.098718,0.0,0.0,653.16619,4.318842,0.067139,0.08089,0.388667,0.584677,0.943548,0.0,0.0,0.0,0.0,0.0,0.002016,0.379032,0.618952,0.0,0.002016,0.379032,0.618952,0.0,0.0,0.042339,0.0,0.018145,-3.10274,0,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.416225,0.508636,0.347866,0.192716,85.85,0.0,0.0,0.346739,0.762964,0.762964,0.65,0.82,1.672514,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465726,-1.072883,0,lyapunov_greedy,heuristic
ppo,normal_patrol,50,492,0.272358,0.272358,0.596202,0.740817,0.333329,0.50342,94.911455,0.552424,0.552424,0.178324,0.752622,0.776285,0.65,0.82,0.967478,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.038653,0.0,0.727642,0.0,0.0,0.0,0.0,0.0,0.0,0.430894,0.569106,0.0,0.0,0.430894,0.569106,0.0,0.0,0.0,0.095528,0.0,2.229675,0.507112,0,semantic_path_two_timescale_ppo,rl
always_cache,normal_patrol,50,496,0.0,0.0,0.416184,0.508435,0.347595,0.192458,85.85,0.0,0.0,0.34678,0.762964,0.762964,0.65,0.82,1.666749,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465726,-1.072832,1,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.379032,0.060484,0.600083,0.812686,0.375388,5.231276,708.97714,1.077313,1.077313,0.182772,0.760081,0.789773,0.65,0.82,1.158529,7.866979,1269.500645,0.0,0.0,663.044796,4.385217,0.06881,0.079387,0.994409,0.620968,0.764113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052419,0.0,0.0,-2.23321,1,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.425403,0.002016,0.471221,0.593994,0.365384,7.214209,766.64944,192.703339,192.703339,0.313633,0.762984,0.782456,0.65,0.82,1.992047,15.388622,1523.286477,0.0,0.0,549.56309,3.634677,0.057959,0.08014,0.0,0.574597,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.522005,1,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.409274,0.060484,0.456747,0.567144,0.351153,6.941752,812.771756,119.010016,119.010016,0.327611,0.760685,0.78884,0.65,0.82,2.064906,15.837891,1719.395721,0.0,0.0,657.490812,4.347444,0.068236,0.081394,0.382419,0.590726,0.939516,0.0,0.0,0.0,0.0,0.0,0.002016,0.372984,0.625,0.0,0.002016,0.372984,0.625,0.0,0.0,0.044355,0.0,0.018145,-3.102689,1,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.416184,0.508435,0.347595,0.192458,85.85,0.0,0.0,0.34678,0.762964,0.762964,0.65,0.82,1.666749,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465726,-1.072832,1,lyapunov_greedy,heuristic
ppo,normal_patrol,50,492,0.27439,0.27439,0.597826,0.741193,0.332263,0.499281,94.845845,0.544955,0.544955,0.176736,0.752276,0.776162,0.65,0.82,0.96532,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.039584,0.0,0.72561,0.0,0.0,0.0,0.0,0.0,0.0,0.436992,0.563008,0.0,0.0,0.436992,0.563008,0.0,0.0,0.0,0.097561,0.0,2.286585,0.507905,1,semantic_path_two_timescale_ppo,rl
always_cache,normal_patrol,50,496,0.0,0.0,0.415484,0.507838,0.348276,0.192439,85.85,0.0,0.0,0.346976,0.76246,0.76246,0.65,0.82,1.6649,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465726,-1.072828,2,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.395161,0.060484,0.601842,0.81474,0.375756,5.199298,704.28048,1.078997,1.078997,0.180501,0.759577,0.789367,0.65,0.82,1.139653,7.738002,1255.731006,0.0,0.0,658.519233,4.355286,0.068361,0.07925,0.994408,0.604839,0.764113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052419,0.0,0.0,-2.220907,2,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.441532,0.002016,0.474792,0.598865,0.365966,7.181898,761.921297,192.955277,192.955277,0.30955,0.76248,0.781805,0.65,0.82,1.958425,15.126121,1505.207939,0.0,0.0,545.037527,3.604746,0.057509,0.080004,0.0,0.558468,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.508107,2,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.425403,0.060484,0.460318,0.572015,0.351716,6.8643,805.249725,115.864686,115.864686,0.323528,0.760181,0.788386,0.65,0.82,2.031284,15.428051,1691.047904,0.0,0.0,652.965249,4.317513,0.067787,0.081257,0.399526,0.574597,0.939516,0.0,0.0,0.0,0.0,0.0,0.002016,0.389113,0.608871,0.0,0.002016,0.389113,0.608871,0.0,0.0,0.044355,0.0,0.018145,-3.071851,2,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.415484,0.507838,0.348276,0.192439,85.85,0.0,0.0,0.346976,0.76246,0.76246,0.65,0.82,1.6649,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465726,-1.072828,2,lyapunov_greedy,heuristic
ppo,normal_patrol,50,492,0.278455,0.278455,0.59836,0.741734,0.331631,0.501582,94.930964,0.547956,0.547956,0.176658,0.752622,0.776732,0.65,0.82,0.963314,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.038026,0.0,0.721545,0.0,0.0,0.0,0.0,0.0,0.0,0.432927,0.567073,0.0,0.0,0.432927,0.567073,0.0,0.0,0.0,0.101626,0.0,2.239837,0.523345,2,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901471,0,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.605526,0.803054,0.352997,3.306427,412.049599,1.172096,1.172096,0.246273,0.84,0.84,0.84,0.84,0.49427,3.545874,59.154678,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.99387,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.396449,0,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.466416,0.568517,0.326068,5.987717,586.228303,191.190907,191.190907,0.394751,0.84,0.84,0.84,0.84,0.787775,8.684881,288.090112,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.382417,0,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.326667,0.133333,0.570114,0.675839,0.329149,4.793995,497.840793,131.299876,131.299876,0.282751,0.84,0.84,0.84,0.84,0.558175,6.465523,207.400631,0.0,0.0,349.268704,2.241195,0.423877,0.866667,0.313253,0.673333,0.866667,0.0,0.0,0.0,0.0,0.0,0.133333,0.193333,0.673333,0.0,0.133333,0.193333,0.673333,0.0,0.0,0.0,0.0,0.273333,-3.748535,0,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901471,0,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.266667,0.226667,0.619613,0.750596,0.335422,1.173605,138.59113,26.536555,26.536555,0.23059,0.84,0.84,0.84,0.84,0.389549,0.509699,0.0,0.0,0.0,78.0,0.0,0.0,0.593333,0.0,0.733333,0.233333,0.0,0.0,0.0,0.0,0.0,0.406667,0.453333,0.14,0.0,0.406667,0.453333,0.14,0.0,0.0,0.173333,0.0,0.72,-0.173769,0,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901296,1,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.608284,0.808471,0.357391,3.305925,412.106066,1.172496,1.172496,0.243514,0.84,0.84,0.84,0.84,0.49154,3.544698,59.212607,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.993874,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.384373,1,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.471562,0.575184,0.330595,5.987573,586.285126,191.387117,191.387117,0.389605,0.84,0.84,0.84,0.84,0.782629,8.684489,288.187475,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.370803,1,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.313333,0.12,0.563954,0.671017,0.333557,4.865252,503.804525,133.952289,133.952289,0.288805,0.84,0.84,0.84,0.84,0.581029,6.617503,211.828148,0.0,0.0,352.548813,2.269767,0.428804,0.88,0.300098,0.686667,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.193333,0.686667,0.0,0.12,0.193333,0.686667,0.0,0.0,0.0,0.0,0.24,-3.782477,1,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901296,1,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.293333,0.273333,0.660975,0.788437,0.332601,0.521831,93.038938,0.482505,0.482505,0.188795,0.84,0.84,0.84,0.84,0.346518,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.413333,0.0,0.706667,0.033333,0.0,0.0,0.0,0.0,0.0,0.586667,0.413333,0.0,0.0,0.586667,0.413333,0.0,0.0,0.0,0.18,0.0,0.953333,0.533206,1,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.449527,0.520088,0.312123,0.33469,85.85,0.0,0.0,0.391433,0.84,0.84,0.84,0.84,0.735692,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901278,2,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.604794,0.808471,0.362771,3.304378,411.885906,1.172078,1.172078,0.247005,0.84,0.84,0.84,0.84,0.500267,3.545252,59.280454,0.0,0.0,376.989314,2.493316,0.469096,1.0,0.993857,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.383974,2,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.468071,0.575184,0.335975,5.985367,586.064308,190.788786,190.788786,0.393095,0.84,0.84,0.84,0.84,0.791356,8.681231,288.298277,0.0,0.0,376.989314,2.493316,0.469096,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.369077,2,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.313333,0.12,0.560463,0.671017,0.338938,4.862974,503.583635,133.353957,133.353957,0.292295,0.84,0.84,0.84,0.84,0.589756,6.614299,211.939078,0.0,0.0,352.328655,2.268311,0.428767,0.88,0.301039,0.686667,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.193333,0.686667,0.0,0.12,0.193333,0.686667,0.0,0.0,0.0,0.0,0.24,-3.780736,2,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.12,0.12,0.449527,0.520088,0.312123,0.33469,85.85,0.0,0.0,0.391433,0.84,0.84,0.84,0.84,0.735692,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901278,2,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.28,0.086667,0.674598,0.825156,0.337178,3.720898,413.924564,61.516537,61.516537,0.180801,0.84,0.84,0.84,0.84,0.289196,3.795115,75.858558,0.0,0.0,311.068654,1.923205,0.362529,0.74,0.0,0.72,0.74,0.0,0.0,0.0,0.0,0.0,0.26,0.426667,0.313333,0.0,0.26,0.426667,0.313333,0.0,0.0,0.0,0.0,0.6,-3.120783,2,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_soft,50,397,0.355164,0.355164,0.530486,0.553706,0.089693,0.18565,85.85,0.0,0.0,0.266759,0.77597,0.762969,0.65,0.82,1.082835,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.644836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.0,3.438287,-0.509544,0,always_cache,heuristic
always_semantic_token,low_snr_soft,50,397,0.639798,0.0,0.605775,0.655957,0.112945,18.181345,2513.840224,0.986161,0.986161,0.209328,0.778766,0.777972,0.65,0.82,0.987673,58.714274,8657.656419,0.06801,0.0,2472.23802,16.350781,0.014593,0.115748,0.973323,0.360202,1.0,0.042821,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.352645,0.0,0.0,-5.988866,0,always_semantic_token,heuristic
always_image,low_snr_soft,50,397,0.639798,0.0,0.597701,0.631818,0.096518,54.473652,2722.732187,36.966317,36.966317,0.256842,0.778766,0.777972,0.65,0.82,1.238722,211.262141,9578.621891,0.118388,0.0,2472.23802,16.350781,0.014593,0.115748,0.0,0.360202,1.0,0.073048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.352645,0.0,0.0,-13.400325,0,always_image,heuristic
semantic_greedy,low_snr_soft,50,397,0.944584,0.241814,0.82044,0.865704,0.107082,14.946022,1873.328852,2.4793,2.4793,0.013063,0.778463,0.657727,0.65,0.82,0.014037,42.710482,6101.774822,0.04534,0.0,1827.321023,11.954214,0.012941,0.085882,0.932931,0.055416,0.758186,0.027708,0.0,0.0,0.0,0.0,0.254408,0.690176,0.055416,0.0,0.254408,0.690176,0.055416,0.0,0.0,0.284635,0.0,0.937028,-4.60041,0,semantic_greedy,heuristic
lyapunov_greedy,low_snr_soft,50,397,0.355164,0.355164,0.530486,0.553706,0.089693,0.18565,85.85,0.0,0.0,0.266759,0.77597,0.762969,0.65,0.82,1.082835,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.644836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.0,3.438287,-0.509544,0,lyapunov_greedy,heuristic
ppo,low_snr_soft,50,397,0.831234,0.289673,0.758186,0.796217,0.100822,10.998786,107.926694,0.557566,0.557566,0.067551,0.777531,0.729104,0.65,0.82,0.190101,35.082885,0.0,0.0,0.0,78.0,0.0,0.0,0.066357,0.0,0.168766,0.599496,0.0,0.0,0.0,0.0,0.0,0.433249,0.566751,0.0,0.0,0.433249,0.566751,0.0,0.0,0.0,0.267003,0.0,1.465995,-2.992803,0,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_soft,50,397,0.342569,0.342569,0.524218,0.5475,0.089771,0.185158,85.85,0.0,0.0,0.272057,0.775668,0.763448,0.65,0.82,1.11288,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.657431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.0,3.438287,-0.510045,1,always_cache,heuristic
always_semantic_token,low_snr_soft,50,397,0.657431,0.0,0.61705,0.6672,0.112785,18.198491,2520.251065,0.985565,0.985565,0.198862,0.778766,0.777647,0.65,0.82,0.933936,58.920205,8705.236029,0.070529,0.0,2478.661189,16.393262,0.014117,0.11578,0.973209,0.342569,1.0,0.04534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.360202,0.0,0.0,-5.977226,1,always_semantic_token,heuristic
always_image,low_snr_soft,50,397,0.657431,0.0,0.61248,0.64693,0.096701,53.990748,2728.630463,36.787224,36.787224,0.243917,0.778766,0.777647,0.65,0.82,1.170936,207.253171,9621.976111,0.118388,0.0,2478.661189,16.393262,0.014117,0.11578,0.0,0.342569,1.0,0.078086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.360202,0.0,0.0,-13.288113,1,always_image,heuristic
semantic_greedy,low_snr_soft,50,397,0.947103,0.229219,0.821051,0.866539,0.107226,14.491942,1897.16919,2.410415,2.410415,0.01233,0.778463,0.658095,0.65,0.82,0.013304,43.281651,6245.209594,0.047859,0.0,1851.91957,12.1234,0.011923,0.087813,0.934477,0.052897,0.770781,0.030227,0.0,0.0,0.0,0.0,0.241814,0.70529,0.052897,0.0,0.241814,0.70529,0.052897,0.0,0.0,0.292191,0.0,0.881612,-4.527853,1,semantic_greedy,heuristic
lyapunov_greedy,low_snr_soft,50,397,0.342569,0.342569,0.524218,0.5475,0.089771,0.185158,85.85,0.0,0.0,0.272057,0.775668,0.763448,0.65,0.82,1.11288,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.657431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.0,3.438287,-0.510045,1,lyapunov_greedy,heuristic
ppo,low_snr_soft,50,397,0.813602,0.261965,0.750389,0.789167,0.102551,14.58951,111.401515,0.573028,0.573028,0.073597,0.77738,0.731351,0.65,0.82,0.213814,48.320913,0.0,0.0,0.0,78.0,0.0,0.0,0.068305,0.0,0.186398,0.622166,0.0,0.0,0.0,0.0,0.0,0.418136,0.581864,0.0,0.0,0.418136,0.581864,0.0,0.0,0.0,0.284635,0.0,1.347607,-3.71535,1,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_soft,50,397,0.335013,0.335013,0.520065,0.543393,0.08987,0.185144,85.85,0.0,0.0,0.275999,0.775567,0.764091,0.65,0.82,1.132323,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.664987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.0,3.438287,-0.509443,2,always_cache,heuristic
