policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,cache_eligible_ratio,joint_feasible_selection_ratio,deadline_infeasible_selection_ratio,utm_infeasible_selection_ratio,average_selected_path_deadline_slack_s,average_q_defer,average_q_cache_stale,average_reward,seed,benchmark_policy,variant_kind
always_cache,normal_patrol,50,496,0.0,0.0,0.416225,0.508636,0.347866,0.192716,85.85,0.0,0.0,0.346739,0.762964,0.762964,0.65,0.82,1.672514,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147365,0.0,5.465726,-1.072883,0,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.385081,0.056452,0.602492,0.815553,0.375996,5.200905,704.481423,1.079217,1.079217,0.180323,0.760524,0.790066,0.65,0.82,1.129966,7.78432,1253.840526,0.0,0.0,658.720175,4.356615,0.067713,0.078883,0.994402,0.614919,0.768145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.050403,0.0625,0.768145,0.0,-2.938808,0.0,0.0,-2.239455,0,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.429435,0.002016,0.475296,0.599631,0.365654,7.21866,767.271843,192.797155,192.797155,0.309226,0.762984,0.782226,0.65,0.82,1.938608,15.363676,1517.826386,0.0,0.0,550.185416,3.638792,0.05733,0.079972,0.0,0.570565,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002016,0.997984,0.0,-4.962612,0.0,0.0,-3.517284,0,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.415323,0.056452,0.461304,0.573733,0.352139,6.89401,807.22254,117.863303,117.863303,0.323014,0.761129,0.789138,0.65,0.82,2.011277,15.550953,1690.098718,0.0,0.0,653.16619,4.318842,0.067139,0.08089,0.388667,0.584677,0.943548,0.0,0.0,0.0,0.0,0.0,0.002016,0.379032,0.618952,0.0,0.002016,0.379032,0.618952,0.0,0.0,0.042339,0.054435,0.943548,0.0,-4.6378,0.0,0.018145,-3.10274,0,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.416225,0.508636,0.347866,0.192716,85.85,0.0,0.0,0.346739,0.762964,0.762964,0.65,0.82,1.672514,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147365,0.0,5.465726,-1.072883,0,lyapunov_greedy,heuristic
ppo,normal_patrol,50,496,0.217742,0.0,0.236318,0.302373,0.114364,6.577042,971.468191,0.349313,0.349313,0.53296,0.762964,0.768325,0.65,0.82,2.710075,36.798312,5718.373187,0.0,0.0,961.213672,6.357233,0.082264,0.020576,0.0,0.782258,0.306452,0.0,0.0,0.0,0.0,0.0,0.693548,0.306452,0.0,0.0,0.0,0.298387,0.0,0.693548,0.008065,0.0,0.014113,0.985887,0.0,0.245286,3.435484,0.0,-2.011146,0,semantic_path_two_timescale_ppo,rl
always_cache,normal_patrol,50,496,0.0,0.0,0.416184,0.508435,0.347595,0.192458,85.85,0.0,0.0,0.34678,0.762964,0.762964,0.65,0.82,1.666749,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147623,0.0,5.465726,-1.072832,1,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.379032,0.060484,0.600083,0.812686,0.375388,5.231276,708.97714,1.077313,1.077313,0.182772,0.760081,0.789773,0.65,0.82,1.158529,7.866979,1269.500645,0.0,0.0,663.044796,4.385217,0.06881,0.079387,0.994409,0.620968,0.764113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052419,0.066532,0.764113,0.0,-2.967163,0.0,0.0,-2.23321,1,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.425403,0.002016,0.471221,0.593994,0.365384,7.214209,766.64944,192.703339,192.703339,0.313633,0.762984,0.782456,0.65,0.82,1.992047,15.388622,1523.286477,0.0,0.0,549.56309,3.634677,0.057959,0.08014,0.0,0.574597,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002016,0.997984,0.0,-4.958161,0.0,0.0,-3.522005,1,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.409274,0.060484,0.456747,0.567144,0.351153,6.941752,812.771756,119.010016,119.010016,0.327611,0.760685,0.78884,0.65,0.82,2.064906,15.837891,1719.395721,0.0,0.0,657.490812,4.347444,0.068236,0.081394,0.382419,0.590726,0.939516,0.0,0.0,0.0,0.0,0.0,0.002016,0.372984,0.625,0.0,0.002016,0.372984,0.625,0.0,0.0,0.044355,0.058468,0.939516,0.0,-4.683527,0.0,0.018145,-3.102689,1,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.416184,0.508435,0.347595,0.192458,85.85,0.0,0.0,0.34678,0.762964,0.762964,0.65,0.82,1.666749,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147623,0.0,5.465726,-1.072832,1,lyapunov_greedy,heuristic
ppo,normal_patrol,50,496,0.239919,0.0,0.254975,0.326145,0.123255,7.004699,1033.667867,0.376362,0.376362,0.514992,0.762964,0.769151,0.65,0.82,2.66898,37.403679,5814.713695,0.0,0.0,1025.446672,6.782055,0.086759,0.021721,0.0,0.760081,0.330645,0.0,0.0,0.0,0.0,0.0,0.669355,0.330645,0.0,0.0,0.0,0.322581,0.0,0.669355,0.008065,0.0,0.014113,0.985887,0.0,0.062384,3.381048,0.0,-2.145805,1,semantic_path_two_timescale_ppo,rl
always_cache,normal_patrol,50,496,0.0,0.0,0.415484,0.507838,0.348276,0.192439,85.85,0.0,0.0,0.346976,0.76246,0.76246,0.65,0.82,1.6649,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149658,0.0,5.465726,-1.072828,2,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.395161,0.060484,0.601842,0.81474,0.375756,5.199298,704.28048,1.078997,1.078997,0.180501,0.759577,0.789367,0.65,0.82,1.139653,7.738002,1255.731006,0.0,0.0,658.519233,4.355286,0.068361,0.07925,0.994408,0.604839,0.764113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052419,0.066532,0.764113,0.0,-2.933169,0.0,0.0,-2.220907,2,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.441532,0.002016,0.474792,0.598865,0.365966,7.181898,761.921297,192.955277,192.955277,0.30955,0.76248,0.781805,0.65,0.82,1.958425,15.126121,1505.207939,0.0,0.0,545.037527,3.604746,0.057509,0.080004,0.0,0.558468,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002016,0.997984,0.0,-4.923833,0.0,0.0,-3.508107,2,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.425403,0.060484,0.460318,0.572015,0.351716,6.8643,805.249725,115.864686,115.864686,0.323528,0.760181,0.788386,0.65,0.82,2.031284,15.428051,1691.047904,0.0,0.0,652.965249,4.317513,0.067787,0.081257,0.399526,0.574597,0.939516,0.0,0.0,0.0,0.0,0.0,0.002016,0.389113,0.608871,0.0,0.002016,0.389113,0.608871,0.0,0.0,0.044355,0.058468,0.939516,0.0,-4.604058,0.0,0.018145,-3.071851,2,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.415484,0.507838,0.348276,0.192439,85.85,0.0,0.0,0.346976,0.76246,0.76246,0.65,0.82,1.6649,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149658,0.0,5.465726,-1.072828,2,lyapunov_greedy,heuristic
ppo,normal_patrol,50,492,0.294715,0.294715,0.634994,0.758578,0.320016,0.425294,93.326133,0.401962,0.401962,0.141016,0.75252,0.778242,0.65,0.82,0.782466,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.033123,0.0,0.705285,0.0,0.0,0.0,0.0,0.0,0.0,0.552846,0.447154,0.0,0.0,0.552846,0.447154,0.0,0.0,0.0,0.103659,0.054878,0.426829,0.0,-1.608177,0.0,3.067073,0.589232,2,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886478,0.0,2.0,-1.901471,0,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.605526,0.803054,0.352997,3.306427,412.049599,1.172096,1.172096,0.246273,0.84,0.84,0.84,0.84,0.49427,3.545874,59.154678,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.99387,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.164294,0.0,0.0,-3.396449,0,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.466416,0.568517,0.326068,5.987717,586.228303,191.190907,191.190907,0.394751,0.84,0.84,0.84,0.84,0.787775,8.684881,288.090112,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.845584,0.0,0.0,-4.382417,0,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.326667,0.133333,0.570114,0.675839,0.329149,4.793995,497.840793,131.299876,131.299876,0.282751,0.84,0.84,0.84,0.84,0.558175,6.465523,207.400631,0.0,0.0,349.268704,2.241195,0.423877,0.866667,0.313253,0.673333,0.866667,0.0,0.0,0.0,0.0,0.0,0.133333,0.193333,0.673333,0.0,0.133333,0.193333,0.673333,0.0,0.0,0.0,0.0,0.866667,0.0,-3.641195,0.0,0.273333,-3.748535,0,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886478,0.0,2.0,-1.901471,0,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.293333,0.106667,0.655658,0.771514,0.326526,1.54115,171.388086,0.444156,0.444156,0.194112,0.84,0.84,0.84,0.84,0.363271,0.014208,0.0,0.0,0.0,156.92495,1.037863,-0.099837,0.247,0.0,0.706667,0.7,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0.0,0.0,0.62,0.38,0.0,0.0,0.0,0.153333,0.073333,0.38,0.0,-0.693572,0.0,1.093333,-2.050381,0,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887355,0.0,2.0,-1.901296,1,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.608284,0.808471,0.357391,3.305925,412.106066,1.172496,1.172496,0.243514,0.84,0.84,0.84,0.84,0.49154,3.544698,59.212607,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.993874,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.163792,0.0,0.0,-3.384373,1,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.471562,0.575184,0.330595,5.987573,586.285126,191.387117,191.387117,0.389605,0.84,0.84,0.84,0.84,0.782629,8.684489,288.187475,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.845439,0.0,0.0,-4.370803,1,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.313333,0.12,0.563954,0.671017,0.333557,4.865252,503.804525,133.952289,133.952289,0.288805,0.84,0.84,0.84,0.84,0.581029,6.617503,211.828148,0.0,0.0,352.548813,2.269767,0.428804,0.88,0.300098,0.686667,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.193333,0.686667,0.0,0.12,0.193333,0.686667,0.0,0.0,0.0,0.0,0.88,0.0,-3.713519,0.0,0.24,-3.782477,1,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887355,0.0,2.0,-1.901296,1,lyapunov_greedy,heuristic
