policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,semantic_path_reject_ratio,admission_success_rate,admitted_task_success_rate,reject_ratio,correct_reject_ratio,wrong_reject_ratio,reject_feasible_ratio,average_expected_saved_energy_j,average_expected_saved_delay_s,infeasibility_aware_utility,cache_eligible_ratio,joint_feasible_selection_ratio,deadline_infeasible_selection_ratio,utm_infeasible_selection_ratio,average_selected_path_deadline_slack_s,average_q_defer,average_q_cache_stale,expert_path_agreement_rate,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,expert_mobility_agreement_rate,mobility_stay_ratio,mobility_serve_task_ratio,mobility_reposition_ratio,mobility_avoid_conflict_ratio,mobility_return_base_ratio,utm_safe_service_ratio,oracle_path_feasible_ratio,oracle_mobility_feasible_ratio,infeasible_oracle_ratio,selected_mobility_deadline_infeasible_ratio,selected_mobility_utm_infeasible_ratio,bottleneck_none_ratio,bottleneck_semantic_quality_ratio,bottleneck_queue_delay_ratio,bottleneck_tx_delay_ratio,bottleneck_resource_ratio,bottleneck_mobility_ratio,bottleneck_utm_ratio,bottleneck_expired_ratio,average_defer_count,bc_loss,average_reward,seed,benchmark_policy,variant_kind
always_cache,normal_patrol,50,496,0.0,0.0,0.416225,0.508636,0.347866,0.192716,85.85,0.0,0.0,0.346739,0.762964,0.762964,0.65,0.82,1.672514,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147365,0.0,5.465726,0.0,0.0,1.0,0.0,0.0,0.0,0.975806,1.0,0.0,0.0,0.0,0.0,0.0,0.014113,0.47379,0.52621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072883,0,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.385081,0.056452,0.602492,0.815553,0.375996,5.200905,704.481423,1.079217,1.079217,0.180323,0.760524,0.790066,0.65,0.82,1.129966,7.78432,1253.840526,0.0,0.0,658.720175,4.356615,0.067713,0.078883,0.994402,0.614919,0.768145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.056452,0.056452,0.0,0.0,0.0,0.0,0.0,0.0,-0.711694,0.050403,0.0625,0.768145,0.0,-2.938808,0.0,0.0,0.959677,0.038306,0.959677,0.0,0.002016,0.0,0.233871,0.0,1.0,0.0,0.0,0.0,1.0,0.100806,0.395161,0.604839,0.768145,0.0,0.0625,0.397177,0.0,0.0,0.0,0.540323,0.0,0.0,0.0,0.0,-2.239455,0,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.429435,0.002016,0.475296,0.599631,0.365654,7.21866,767.271843,192.797155,192.797155,0.309226,0.762984,0.782226,0.65,0.82,1.938608,15.363676,1517.826386,0.0,0.0,550.185416,3.638792,0.05733,0.079972,0.0,0.570565,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002016,0.002016,0.0,0.0,0.0,0.0,0.0,0.0,-0.995968,0.0,0.002016,0.997984,0.0,-4.962612,0.0,0.0,0.0,0.0,0.989919,0.0,0.010081,0.0,0.066532,0.0,1.0,0.0,0.0,0.0,1.0,0.175403,0.469758,0.530242,0.997984,0.0,0.002016,0.391129,0.0,0.0,0.260081,0.346774,0.0,0.0,0.0,0.0,-3.517284,0,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.415323,0.056452,0.461304,0.573733,0.352139,6.89401,807.22254,117.863303,117.863303,0.323014,0.761129,0.789138,0.65,0.82,2.011277,15.550953,1690.098718,0.0,0.0,653.16619,4.318842,0.067139,0.08089,0.388667,0.584677,0.943548,0.0,0.0,0.0,0.0,0.0,0.002016,0.379032,0.618952,0.0,0.002016,0.379032,0.618952,0.0,0.0,0.0,0.056452,0.056452,0.0,0.0,0.0,0.0,0.0,0.0,-0.887097,0.042339,0.054435,0.943548,0.0,-4.6378,0.0,0.018145,0.360887,0.034274,0.96371,0.0,0.002016,0.0,0.084677,0.002016,0.997984,0.0,0.0,0.0,1.0,0.106855,0.40121,0.59879,0.943548,0.0,0.054435,0.439516,0.002016,0.0,0.058468,0.445565,0.0,0.0,0.0,0.0,-3.10274,0,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.416225,0.508636,0.347866,0.192716,85.85,0.0,0.0,0.346739,0.762964,0.762964,0.65,0.82,1.672514,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147365,0.0,5.465726,0.0,0.0,1.0,0.0,0.0,0.0,0.975806,1.0,0.0,0.0,0.0,0.0,0.0,0.014113,0.47379,0.52621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072883,0,lyapunov_greedy,heuristic
ppo,normal_patrol,50,492,0.280488,0.280488,0.601174,0.746304,0.333787,0.557113,101.696195,0.564234,0.564234,0.173732,0.751829,0.776921,0.65,0.82,0.970143,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.039904,0.0,0.719512,0.0,0.0,0.0,0.0,0.0,0.0,0.412602,0.587398,0.0,0.0,0.412602,0.587398,0.0,0.0,0.0,0.0,0.280488,0.280488,0.0,0.0,0.0,0.0,0.0,0.0,0.280488,0.101626,0.073171,0.550813,0.0,-2.224276,0.0,2.239837,0.595528,0.093496,0.906504,0.0,0.0,0.0,0.971545,1.0,0.0,0.0,0.0,0.0,1.0,0.115854,0.325203,0.674797,0.195122,0.0,0.073171,0.51626,0.0,0.0,0.0,0.410569,0.0,0.0,0.0,0.030671,0.557639,0,semantic_path_two_timescale_ppo,rl
always_cache,normal_patrol,50,496,0.0,0.0,0.416184,0.508435,0.347595,0.192458,85.85,0.0,0.0,0.34678,0.762964,0.762964,0.65,0.82,1.666749,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147623,0.0,5.465726,0.0,0.0,1.0,0.0,0.0,0.0,0.975806,1.0,0.0,0.0,0.0,0.0,0.0,0.014113,0.467742,0.532258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072832,1,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.379032,0.060484,0.600083,0.812686,0.375388,5.231276,708.97714,1.077313,1.077313,0.182772,0.760081,0.789773,0.65,0.82,1.158529,7.866979,1269.500645,0.0,0.0,663.044796,4.385217,0.06881,0.079387,0.994409,0.620968,0.764113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.060484,0.060484,0.0,0.0,0.0,0.0,0.0,0.0,-0.703629,0.052419,0.066532,0.764113,0.0,-2.967163,0.0,0.0,0.959677,0.038306,0.959677,0.0,0.002016,0.0,0.237903,0.0,1.0,0.0,0.0,0.0,1.0,0.104839,0.385081,0.614919,0.764113,0.0,0.066532,0.403226,0.0,0.0,0.0,0.530242,0.0,0.0,0.0,0.0,-2.23321,1,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.425403,0.002016,0.471221,0.593994,0.365384,7.214209,766.64944,192.703339,192.703339,0.313633,0.762984,0.782456,0.65,0.82,1.992047,15.388622,1523.286477,0.0,0.0,549.56309,3.634677,0.057959,0.08014,0.0,0.574597,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002016,0.002016,0.0,0.0,0.0,0.0,0.0,0.0,-0.995968,0.0,0.002016,0.997984,0.0,-4.958161,0.0,0.0,0.0,0.0,0.989919,0.0,0.010081,0.0,0.066532,0.0,1.0,0.0,0.0,0.0,1.0,0.183468,0.46371,0.53629,0.997984,0.0,0.002016,0.397177,0.0,0.0,0.264113,0.336694,0.0,0.0,0.0,0.0,-3.522005,1,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.409274,0.060484,0.456747,0.567144,0.351153,6.941752,812.771756,119.010016,119.010016,0.327611,0.760685,0.78884,0.65,0.82,2.064906,15.837891,1719.395721,0.0,0.0,657.490812,4.347444,0.068236,0.081394,0.382419,0.590726,0.939516,0.0,0.0,0.0,0.0,0.0,0.002016,0.372984,0.625,0.0,0.002016,0.372984,0.625,0.0,0.0,0.0,0.060484,0.060484,0.0,0.0,0.0,0.0,0.0,0.0,-0.879032,0.044355,0.058468,0.939516,0.0,-4.683527,0.0,0.018145,0.354839,0.034274,0.96371,0.0,0.002016,0.0,0.084677,0.002016,0.997984,0.0,0.0,0.0,1.0,0.110887,0.391129,0.608871,0.939516,0.0,0.058468,0.445565,0.002016,0.0,0.058468,0.435484,0.0,0.0,0.0,0.0,-3.102689,1,semantic_greedy,heuristic
