scenario,benchmark_policy,seeds,runs,episodes_per_seed,tasks_total,variant_kind,semantic_success_rate_mean,semantic_success_rate_std,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_accuracy_mean_mean,average_accuracy_mean_std,average_uncertainty_mean,average_uncertainty_std,average_semantic_quality_gap_mean,average_semantic_quality_gap_std,average_epsilon_k_mean,average_epsilon_k_std,failed_epsilon_k_mean_mean,failed_epsilon_k_mean_std,failed_epsilon_k_min_mean,failed_epsilon_k_min_std,failed_epsilon_k_max_mean,failed_epsilon_k_max_std,average_q_quality_mean,average_q_quality_std,average_q_deadline_mean,average_q_deadline_std,average_q_energy_mean,average_q_energy_std,average_q_utm_mean,average_q_utm_std,average_mobility_energy_j_mean,average_mobility_energy_j_std,average_arrival_delay_s_mean,average_arrival_delay_s_std,average_coverage_gain_mean,average_coverage_gain_std,average_utm_conflict_risk_mean,average_utm_conflict_risk_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,deadline_violation_rate_mean,deadline_violation_rate_std,utm_conflict_violation_rate_mean,utm_conflict_violation_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std,semantic_path_cache_ratio_mean,semantic_path_cache_ratio_std,semantic_path_token_ratio_mean,semantic_path_token_ratio_std,semantic_path_image_ratio_mean,semantic_path_image_ratio_std,semantic_path_defer_ratio_mean,semantic_path_defer_ratio_std,semantic_path_cache_update_ratio_mean,semantic_path_cache_update_ratio_std,semantic_path_reject_ratio_mean,semantic_path_reject_ratio_std,admission_success_rate_mean,admission_success_rate_std,admitted_task_success_rate_mean,admitted_task_success_rate_std,reject_ratio_mean,reject_ratio_std,correct_reject_ratio_mean,correct_reject_ratio_std,wrong_reject_ratio_mean,wrong_reject_ratio_std,reject_feasible_ratio_mean,reject_feasible_ratio_std,average_expected_saved_energy_j_mean,average_expected_saved_energy_j_std,average_expected_saved_delay_s_mean,average_expected_saved_delay_s_std,infeasibility_aware_utility_mean,infeasibility_aware_utility_std,cache_eligible_ratio_mean,cache_eligible_ratio_std,joint_feasible_selection_ratio_mean,joint_feasible_selection_ratio_std,deadline_infeasible_selection_ratio_mean,deadline_infeasible_selection_ratio_std,utm_infeasible_selection_ratio_mean,utm_infeasible_selection_ratio_std,average_selected_path_deadline_slack_s_mean,average_selected_path_deadline_slack_s_std,average_q_defer_mean,average_q_defer_std,average_q_cache_stale_mean,average_q_cache_stale_std,expert_path_agreement_rate_mean,expert_path_agreement_rate_std,expert_path_cache_ratio_mean,expert_path_cache_ratio_std,expert_path_token_ratio_mean,expert_path_token_ratio_std,expert_path_image_ratio_mean,expert_path_image_ratio_std,expert_path_defer_ratio_mean,expert_path_defer_ratio_std,expert_path_cache_update_ratio_mean,expert_path_cache_update_ratio_std,expert_mobility_agreement_rate_mean,expert_mobility_agreement_rate_std,mobility_stay_ratio_mean,mobility_stay_ratio_std,mobility_serve_task_ratio_mean,mobility_serve_task_ratio_std,mobility_reposition_ratio_mean,mobility_reposition_ratio_std,mobility_avoid_conflict_ratio_mean,mobility_avoid_conflict_ratio_std,mobility_return_base_ratio_mean,mobility_return_base_ratio_std,utm_safe_service_ratio_mean,utm_safe_service_ratio_std,oracle_path_feasible_ratio_mean,oracle_path_feasible_ratio_std,oracle_mobility_feasible_ratio_mean,oracle_mobility_feasible_ratio_std,infeasible_oracle_ratio_mean,infeasible_oracle_ratio_std,selected_mobility_deadline_infeasible_ratio_mean,selected_mobility_deadline_infeasible_ratio_std,selected_mobility_utm_infeasible_ratio_mean,selected_mobility_utm_infeasible_ratio_std,bottleneck_none_ratio_mean,bottleneck_none_ratio_std,bottleneck_semantic_quality_ratio_mean,bottleneck_semantic_quality_ratio_std,bottleneck_queue_delay_ratio_mean,bottleneck_queue_delay_ratio_std,bottleneck_tx_delay_ratio_mean,bottleneck_tx_delay_ratio_std,bottleneck_resource_ratio_mean,bottleneck_resource_ratio_std,bottleneck_mobility_ratio_mean,bottleneck_mobility_ratio_std,bottleneck_utm_ratio_mean,bottleneck_utm_ratio_std,bottleneck_expired_ratio_mean,bottleneck_expired_ratio_std,average_defer_count_mean,average_defer_count_std,bc_loss_mean,bc_loss_std
disaster_hotspot,always_cache,"0,1,2",3,50,450,heuristic,0.124444,0.007698,0.124444,0.007698,0.455928,0.005838,0.527166,0.006284,0.308691,0.003544,0.385067,0.005792,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.720955,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335041,0.000533,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124444,0.007698,0.124444,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124444,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887092,0.000534,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937778,0.003849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497778,0.003849,0.502222,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,always_image,"0,1,2",3,50,450,heuristic,0.193333,0.0,0.0,0.0,0.468683,0.002627,0.572962,0.003849,0.330879,0.00496,0.392484,0.002627,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.787253,0.004387,8.683534,0.002004,288.191955,0.104155,0.0,0.0,377.117264,0.114348,2.494162,0.000756,0.469152,6.8e-05,1.0,0.0,5.986886,0.001317,586.192579,0.114662,191.12227,0.305014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.844752,0.001317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091111,0.003849,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.268889,0.003849,0.731111,0.003849,1.0,0.0,0.0,0.0,0.0,0.0,0.422222,0.003849,0.0,0.0,0.0,0.0,0.384445,0.003849,0.193333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,always_semantic_token,"0,1,2",3,50,450,heuristic,0.193333,0.0,0.0,0.0,0.606201,0.00184,0.806665,0.003128,0.35772,0.004895,0.245597,0.001841,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.495359,0.004464,3.545275,0.000588,59.215913,0.062953,0.0,0.0,377.117264,0.114348,2.494162,0.000756,0.469152,6.8e-05,1.0,0.0,3.305577,0.001068,412.013857,0.114349,1.172223,0.000236,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.163444,0.001068,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.384445,0.003849,0.615555,0.003849,1.0,0.0,0.0,0.0,0.0,0.0,0.422222,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,0.577778,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,lyapunov_greedy,"0,1,2",3,50,450,heuristic,0.124444,0.007698,0.124444,0.007698,0.455928,0.005838,0.527166,0.006284,0.308691,0.003544,0.385067,0.005792,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.720955,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335041,0.000533,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124444,0.007698,0.124444,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124444,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887092,0.000534,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937778,0.003849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497778,0.003849,0.502222,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,semantic_greedy,"0,1,2",3,50,450,heuristic,0.317778,0.007698,0.124444,0.007698,0.564844,0.004887,0.672624,0.002784,0.333881,0.004903,0.28795,0.004829,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.57632,0.016309,6.565775,0.086836,210.389286,2.588845,0.0,0.0,351.382057,1.833525,2.259758,0.016092,0.427149,0.002834,0.875556,0.007698,4.84074,0.040499,501.742984,3.381201,132.868707,1.391195,0.875556,0.007698,0.0,0.0,0.124444,0.007698,0.193333,0.0,0.682222,0.007698,0.124444,0.007698,0.193333,0.0,0.682222,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.124444,0.007698,0.124444,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.751111,0.015396,0.0,0.0,0.0,0.0,0.875556,0.007698,0.0,0.0,-3.688651,0.041114,0.0,0.0,0.251111,0.019245,0.193333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.124444,0.007698,0.875556,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.315555,0.003849,0.684445,0.003849,0.875556,0.007698,0.0,0.0,0.0,0.0,0.422222,0.003849,0.0,0.0,0.0,0.0,0.237778,0.003849,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,semantic_path_two_timescale_ppo,"0,1,2",3,50,450,rl,0.282222,0.010183,0.204444,0.007698,0.659526,0.000968,0.789466,0.0035,0.33709,0.004322,0.190037,0.001238,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.349715,0.001784,0.01416,0.001493,0.0,0.0,0.0,0.0,110.97309,0.303782,0.433596,0.003995,-0.071343,0.000784,0.271556,0.002502,0.95554,0.004254,125.996515,0.360868,0.487819,0.004602,0.244445,0.003849,0.0,0.0,0.582222,0.003849,0.417778,0.003849,0.0,0.0,0.582222,0.003849,0.417778,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204444,0.007698,0.204444,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.011547,0.151111,0.003849,0.071111,0.003849,0.417778,0.003849,0.0,0.0,-0.841683,0.01442,0.0,0.0,0.993333,0.006667,0.408889,0.003849,0.151111,0.003849,0.848889,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,0.497778,0.003849,0.582222,0.003849,0.0,0.0,0.0,0.0,0.417778,0.003849,0.0,0.0,1.0,0.0,0.151111,0.003849,0.448889,0.003849,0.551111,0.003849,0.417778,0.003849,0.0,0.0,0.071111,0.003849,0.551111,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,0.377778,0.003849,0.0,0.0,0.0,0.0,0.0,0.0,0.079532,0.003182
edge_overload,always_cache,"0,1,2",3,50,1500,heuristic,0.0,0.0,0.0,0.0,0.173583,0.000333,0.295313,0.001119,0.66542,0.002173,0.464777,0.000264,0.63836,6.9e-05,0.63836,6.9e-05,0.62,0.0,0.64,0.0,2.732381,0.005972,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38657,0.000331,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70803,0.01839,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.143333,0.002309,0.0,0.0,0.0,0.0,0.0,0.0,0.917333,0.001155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143333,0.002309,0.878667,0.004163,0.121333,0.004163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_overload,always_image,"0,1,2",3,50,1500,heuristic,0.05,0.003464,0.0,0.0,0.32273,0.004122,0.585223,0.005557,0.749395,0.002104,0.326953,0.003395,0.63836,6.9e-05,0.639326,3e-06,0.62,0.0,0.64,0.0,1.903874,0.024461,6.928943,0.081756,1925.953753,2.712139,0.0,0.0,565.170562,1.966082,2.803425,0.009752,0.065067,0.000174,0.403219,0.004438,6.822798,0.011007,778.35877,2.139537,161.314686,0.02563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.808198,0.028601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284667,0.008083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.284667,0.008083,0.718,0.003464,0.282,0.003464,1.0,0.0,0.0,0.0,0.0,0.0,0.404667,0.005774,0.0,0.0,0.0,0.0,0.595333,0.005774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_overload,always_semantic_token,"0,1,2",3,50,1500,heuristic,0.399333,0.008083,0.004,0.0,0.564693,0.002226,0.887641,0.001742,0.577653,0.004196,0.127611,0.001484,0.631493,0.000162,0.639134,1.2e-05,0.62,0.0,0.64,0.0,0.819059,0.009162,1.96005,0.00819,1610.968208,6.65712,0.0,0.0,655.537499,1.801248,3.251674,0.008935,0.075264,7.2e-05,0.406139,0.003871,4.438456,0.011801,708.481815,2.035909,0.988797,0.003017,0.894667,0.002309,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.890667,0.002309,0.034,0.0,0.105333,0.002309,0.894667,0.002309,0.0,0.0,-1.825189,0.019217,0.0,0.0,0.0,0.0,0.105333,0.002309,0.032,0.0,0.105333,0.002309,0.0,0.0,0.0,0.0,0.0,0.0,0.040667,0.001155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.137333,0.002309,0.626667,0.003055,0.373333,0.003055,0.894667,0.002309,0.0,0.0,0.105333,0.002309,0.0,0.0,0.011333,0.001155,0.0,0.0,0.026667,0.001155,0.856667,0.002309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_overload,lyapunov_greedy,"0,1,2",3,50,1500,heuristic,0.0,0.0,0.0,0.0,0.173583,0.000333,0.295313,0.001119,0.66542,0.002173,0.464777,0.000264,0.63836,6.9e-05,0.63836,6.9e-05,0.62,0.0,0.64,0.0,2.732381,0.005972,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38657,0.000331,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70803,0.01839,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.143333,0.002309,0.0,0.0,0.0,0.0,0.0,0.0,0.917333,0.001155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143333,0.002309,0.878667,0.004163,0.121333,0.004163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
