policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,cache_eligible_ratio,average_q_defer,average_q_cache_stale,average_reward,seed,benchmark_policy,variant_kind
always_cache,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901471,0,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.605526,0.803054,0.352997,3.306427,412.049599,1.172096,1.172096,0.246273,0.84,0.84,0.84,0.84,0.49427,3.545874,59.154678,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.99387,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.396449,0,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.466416,0.568517,0.326068,5.987717,586.228303,191.190907,191.190907,0.394751,0.84,0.84,0.84,0.84,0.787775,8.684881,288.090112,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.382417,0,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.326667,0.133333,0.570114,0.675839,0.329149,4.793995,497.840793,131.299876,131.299876,0.282751,0.84,0.84,0.84,0.84,0.558175,6.465523,207.400631,0.0,0.0,349.268704,2.241195,0.423877,0.866667,0.313253,0.673333,0.866667,0.0,0.0,0.0,0.0,0.0,0.133333,0.193333,0.673333,0.0,0.133333,0.193333,0.673333,0.0,0.0,0.0,0.0,0.273333,-3.748535,0,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901471,0,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.326667,0.286667,0.71822,0.873125,0.338687,0.585776,96.156544,0.638628,0.638628,0.132523,0.84,0.84,0.84,0.84,0.252691,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.546667,0.0,0.673333,0.146667,0.0,0.0,0.0,0.0,0.0,0.453333,0.546667,0.0,0.0,0.453333,0.5,0.0,0.0,0.046667,0.18,0.0,0.866667,0.030066,0,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.901296,1,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.608284,0.808471,0.357391,3.305925,412.106066,1.172496,1.172496,0.243514,0.84,0.84,0.84,0.84,0.49154,3.544698,59.212607,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.993874,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.384373,1,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.471562,0.575184,0.330595,5.987573,586.285126,191.387117,191.387117,0.389605,0.84,0.84,0.84,0.84,0.782629,8.684489,288.187475,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.370803,1,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.313333,0.12,0.563954,0.671017,0.333557,4.865252,503.804525,133.952289,133.952289,0.288805,0.84,0.84,0.84,0.84,0.581029,6.617503,211.828148,0.0,0.0,352.548813,2.269767,0.428804,0.88,0.300098,0.686667,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.193333,0.686667,0.0,0.12,0.193333,0.686667,0.0,0.0,0.0,0.0,0.24,-3.782477,1,semantic_greedy,heuristic
