scenario,benchmark_policy,seeds,runs,episodes_per_seed,tasks_total,variant_kind,semantic_success_rate_mean,semantic_success_rate_std,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_accuracy_mean_mean,average_accuracy_mean_std,average_uncertainty_mean,average_uncertainty_std,average_semantic_quality_gap_mean,average_semantic_quality_gap_std,average_epsilon_k_mean,average_epsilon_k_std,failed_epsilon_k_mean_mean,failed_epsilon_k_mean_std,failed_epsilon_k_min_mean,failed_epsilon_k_min_std,failed_epsilon_k_max_mean,failed_epsilon_k_max_std,average_q_quality_mean,average_q_quality_std,average_q_deadline_mean,average_q_deadline_std,average_q_energy_mean,average_q_energy_std,average_q_utm_mean,average_q_utm_std,average_mobility_energy_j_mean,average_mobility_energy_j_std,average_arrival_delay_s_mean,average_arrival_delay_s_std,average_coverage_gain_mean,average_coverage_gain_std,average_utm_conflict_risk_mean,average_utm_conflict_risk_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,deadline_violation_rate_mean,deadline_violation_rate_std,utm_conflict_violation_rate_mean,utm_conflict_violation_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std,semantic_path_cache_ratio_mean,semantic_path_cache_ratio_std,semantic_path_token_ratio_mean,semantic_path_token_ratio_std,semantic_path_image_ratio_mean,semantic_path_image_ratio_std,semantic_path_defer_ratio_mean,semantic_path_defer_ratio_std,semantic_path_cache_update_ratio_mean,semantic_path_cache_update_ratio_std,cache_eligible_ratio_mean,cache_eligible_ratio_std,average_q_defer_mean,average_q_defer_std,average_q_cache_stale_mean,average_q_cache_stale_std
disaster_hotspot,always_cache,"0,1,2",3,50,450,heuristic,0.124444,0.007698,0.124444,0.007698,0.455928,0.005838,0.527166,0.006284,0.308691,0.003544,0.385067,0.005792,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.720955,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335041,0.000533,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
disaster_hotspot,always_image,"0,1,2",3,50,450,heuristic,0.193333,0.0,0.0,0.0,0.468683,0.002627,0.572962,0.003849,0.330879,0.00496,0.392484,0.002627,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.787253,0.004387,8.683534,0.002004,288.191955,0.104155,0.0,0.0,377.117264,0.114348,2.494162,0.000756,0.469152,6.8e-05,1.0,0.0,5.986886,0.001317,586.192579,0.114662,191.12227,0.305014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,always_semantic_token,"0,1,2",3,50,450,heuristic,0.193333,0.0,0.0,0.0,0.606201,0.00184,0.806665,0.003128,0.35772,0.004895,0.245597,0.001841,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.495359,0.004464,3.545275,0.000588,59.215913,0.062953,0.0,0.0,377.117264,0.114348,2.494162,0.000756,0.469152,6.8e-05,1.0,0.0,3.305577,0.001068,412.013857,0.114349,1.172223,0.000236,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,lyapunov_greedy,"0,1,2",3,50,450,heuristic,0.124444,0.007698,0.124444,0.007698,0.455928,0.005838,0.527166,0.006284,0.308691,0.003544,0.385067,0.005792,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.720955,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335041,0.000533,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
disaster_hotspot,semantic_greedy,"0,1,2",3,50,450,heuristic,0.317778,0.007698,0.124444,0.007698,0.564844,0.004887,0.672624,0.002784,0.333881,0.004903,0.28795,0.004829,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.57632,0.016309,6.565775,0.086836,210.389286,2.588845,0.0,0.0,351.382057,1.833525,2.259758,0.016092,0.427149,0.002834,0.875556,0.007698,4.84074,0.040499,501.742984,3.381201,132.868707,1.391195,0.875556,0.007698,0.0,0.0,0.124444,0.007698,0.193333,0.0,0.682222,0.007698,0.124444,0.007698,0.193333,0.0,0.682222,0.007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251111,0.019245
disaster_hotspot,semantic_path_two_timescale_ppo,"0,1,2",3,50,450,rl,0.315556,0.010184,0.277778,0.007698,0.717621,0.00147,0.874497,0.001225,0.342853,0.004247,0.132915,0.001221,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,0.255646,0.004111,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.548889,0.003849,0.585135,0.001876,96.162357,0.090296,0.641302,0.004545,0.144445,0.003849,0.0,0.0,0.451111,0.003849,0.548889,0.003849,0.0,0.0,0.451111,0.003849,0.504445,0.003849,0.0,0.0,0.0,0.0,0.044445,0.003849,0.177778,0.003849,0.0,0.0,0.866667,0.006667
edge_overload,always_cache,"0,1,2",3,50,1500,heuristic,0.0,0.0,0.0,0.0,0.173583,0.000333,0.295313,0.001119,0.66542,0.002173,0.464777,0.000264,0.63836,6.9e-05,0.63836,6.9e-05,0.62,0.0,0.64,0.0,2.732381,0.005972,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38657,0.000331,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
edge_overload,always_image,"0,1,2",3,50,1500,heuristic,0.05,0.003464,0.0,0.0,0.32273,0.004122,0.585223,0.005557,0.749395,0.002104,0.326953,0.003395,0.63836,6.9e-05,0.639326,3e-06,0.62,0.0,0.64,0.0,1.903874,0.024461,6.928943,0.081756,1925.953753,2.712139,0.0,0.0,565.170562,1.966082,2.803425,0.009752,0.065067,0.000174,0.403219,0.004438,6.822798,0.011007,778.35877,2.139537,161.314686,0.02563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_overload,always_semantic_token,"0,1,2",3,50,1500,heuristic,0.399333,0.008083,0.004,0.0,0.564693,0.002226,0.887641,0.001742,0.577653,0.004196,0.127611,0.001484,0.631493,0.000162,0.639134,1.2e-05,0.62,0.0,0.64,0.0,0.819059,0.009162,1.96005,0.00819,1610.968208,6.65712,0.0,0.0,655.537499,1.801248,3.251674,0.008935,0.075264,7.2e-05,0.406139,0.003871,4.438456,0.011801,708.481815,2.035909,0.988797,0.003017,0.894667,0.002309,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0
edge_overload,lyapunov_greedy,"0,1,2",3,50,1500,heuristic,0.0,0.0,0.0,0.0,0.173583,0.000333,0.295313,0.001119,0.66542,0.002173,0.464777,0.000264,0.63836,6.9e-05,0.63836,6.9e-05,0.62,0.0,0.64,0.0,2.732381,0.005972,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38657,0.000331,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
edge_overload,semantic_greedy,"0,1,2",3,50,1500,heuristic,0.08,0.003464,0.0,0.0,0.325545,0.003918,0.587974,0.005395,0.74928,0.002052,0.325019,0.003395,0.63836,6.9e-05,0.639957,1e-06,0.62,0.0,0.64,0.0,1.90065,0.024461,6.759248,0.075818,1903.164979,2.148605,0.0,0.0,565.170562,1.966082,2.803425,0.009752,0.065067,0.000174,0.403219,0.004438,6.589366,0.000807,763.798865,1.509083,149.007902,0.558252,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.003464,0.92,0.003464,0.0,0.0,0.08,0.003464,0.92,0.003464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_overload,semantic_path_two_timescale_ppo,"0,1,2",3,50,1500,rl,0.608667,0.180846,0.231333,0.213657,0.637791,0.070877,0.870161,0.004507,0.428513,0.129402,0.076647,0.048085,0.62648,0.004295,0.635653,0.002976,0.62,0.0,0.64,0.0,0.565843,0.245791,1.717978,2.975625,899.299998,1557.633287,0.0,0.0,407.931175,465.087753,1.890631,2.44401,0.00987,0.03143,0.304925,0.157251,2.973305,2.404561,443.406662,463.312047,0.864436,0.086783,0.569333,0.288231,0.0,0.0,0.034,0.005292,0.966,0.005292,0.0,0.0,0.034,0.005292,0.584667,0.384772,0.0,0.0,0.0,0.0,0.381333,0.385587,0.130667,0.097002,0.0,0.0,0.292,0.051069
low_snr_blockage,always_cache,"0,1,2",3,50,1191,heuristic,0.344249,0.01018,0.344249,0.01018,0.524923,0.005246,0.5482,0.005192,0.089778,8.9e-05,0.271605,0.004637,0.775735,0.00021,0.763503,0.000563,0.65,0.0,0.82,0.0,1.109346,0.024933,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185317,0.000288,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130982,0.0,0.0,0.0,3.438287,0.0
low_snr_blockage,always_image,"0,1,2",3,50,1191,heuristic,0.650714,0.009537,0.0,0.0,0.606726,0.007914,0.641033,0.008084,0.096598,9.4e-05,0.248847,0.006987,0.778732,5.8e-05,0.777664,0.0003,0.65,0.0,0.82,0.0,1.197981,0.035908,209.740206,2.171756,9642.196784,75.737505,0.0,0.0,2480.480638,9.286989,16.405295,0.061422,0.01507,0.001261,0.115848,0.000147,54.720768,0.879998,2731.167739,9.949856,36.863845,0.092303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.355164,0.004363,0.0,0.0,0.0,0.0
