candidate,scenario,num_seeds,final50_mean_shaped_reward_mean,final50_mean_shaped_reward_std,delta50_mean_shaped_reward_mean,delta50_mean_shaped_reward_std,final50_success_rate_mean,final50_success_rate_std,delta50_success_rate_mean,delta50_success_rate_std,final50_mean_q_deadline_mean,final50_mean_q_deadline_std,delta50_mean_q_deadline_mean,delta50_mean_q_deadline_std,final50_mean_q_quality_mean,final50_mean_q_quality_std,delta50_mean_q_quality_mean,delta50_mean_q_quality_std,final50_non_cache_ratio_mean,final50_non_cache_ratio_std,reward_stable_fraction,success_rising_fraction,q_deadline_exploding_fraction,q_quality_exploding_fraction
A_state_v1_128x128,nominal_patrol,3,-29.746323,1.485072,-2.457804,4.323552,0.135556,0.012273,-0.021111,0.018274,13.808411,1.656048,0.16775,3.01076,1.243664,0.031984,0.106637,0.040931,0.89,0.001361,0.666667,0.0,0.0,0.0
A_state_v1_128x128,disaster_hotspot,3,-16.821125,0.291802,-0.913838,0.565887,0.090667,0.002494,0.008667,0.003771,3.873521,0.00759,0.030084,0.017635,1.298124,0.009908,-0.128933,0.036777,0.872667,0.002494,1.0,0.0,0.0,0.0
A_state_v1_128x128,low_snr_blockage,3,-869.711347,208.442944,-158.42904,306.213433,0.201111,0.009558,-0.015556,0.009558,105.602807,6.279922,4.926782,10.768074,0.535156,0.107389,0.028805,0.17458,0.64,0.010274,0.333333,0.0,0.0,0.0
A_state_v1_128x128,edge_overload,3,5.037002,1.55867,-0.800079,2.560289,0.402222,0.046693,0.002222,0.081891,7.143187,1.164159,0.706244,1.246857,0.718881,0.042251,-0.01985,0.091681,0.964445,0.002079,0.0,0.333333,0.0,0.0
A_state_v1_128x128,utm_conflict,3,-48.188813,2.722974,1.139064,8.011038,0.0,0.0,0.0,0.0,7.797209,1.206544,-0.959215,3.660661,1.41349,0.034527,0.014502,0.051811,0.823333,0.008055,0.666667,0.0,0.0,0.0
B_state_v2_fixed_128x128,nominal_patrol,3,-30.656058,0.38712,-2.44473,4.329398,0.135556,0.012273,-0.021111,0.018274,13.808411,1.656048,0.16775,3.01076,1.243664,0.031984,0.106637,0.040931,0.89,0.001361,0.666667,0.0,0.0,0.0
B_state_v2_fixed_128x128,disaster_hotspot,3,-18.344052,1.709233,-2.051873,1.900175,0.094667,0.005249,0.008667,0.00411,3.409021,0.547263,-0.139753,0.13795,1.356858,0.067992,-0.075646,0.102085,0.879333,0.012037,0.666667,0.0,0.0,0.0
B_state_v2_fixed_128x128,low_snr_blockage,3,-869.772602,208.194519,-158.445483,306.216516,0.201111,0.009558,-0.015556,0.009558,105.602807,6.279922,4.926782,10.768074,0.535156,0.107389,0.028805,0.17458,0.64,0.010274,0.333333,0.0,0.0,0.0
B_state_v2_fixed_128x128,edge_overload,3,8.698948,1.28454,0.326798,0.51701,0.507778,0.043298,0.021667,0.010887,4.804199,0.776214,-0.394181,0.315977,0.660974,0.006466,-0.04766,0.06018,0.960556,0.000786,1.0,0.666667,0.0,0.0
B_state_v2_fixed_128x128,utm_conflict,3,-48.255767,2.787495,1.127836,7.982812,0.0,0.0,0.0,0.0,7.797209,1.206544,-0.959215,3.660661,1.41349,0.034527,0.014502,0.051811,0.823333,0.008055,0.666667,0.0,0.0,0.0
A_state_v1_128x128,OVERALL,15,-191.886121,351.929633,-32.292339,150.831701,0.165911,0.136836,-0.005156,0.039448,27.645027,39.225513,0.974329,5.673553,1.041863,0.352477,0.000232,0.121676,0.838089,0.109083,0.533333,0.066667,0.0,0.0
B_state_v2_fixed_128x128,OVERALL,15,-191.665906,352.09752,-32.29749,150.834876,0.187822,0.174,-0.001267,0.018894,27.084329,39.534432,0.720277,5.680453,1.042028,0.373709,0.005328,0.117596,0.838645,0.108781,0.666667,0.133333,0.0,0.0
