policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,average_reward,seed,benchmark_policy,variant_kind
always_cache,nominal_patrol,1,12,0.0,0.0,0.281615,0.363825,0.347464,0.19409,85.85,0.0,0.0,0.460052,0.741667,0.741667,0.65,0.76,2.390738,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.073158,0,always_cache,heuristic
always_semantic_token,nominal_patrol,1,12,0.583333,0.166667,0.673807,0.837388,0.305268,6.270135,846.116645,0.828197,0.828197,0.033244,0.659167,0.65,0.65,0.65,0.312491,10.698137,2462.224224,0.0,0.0,772.324138,5.107964,0.120551,0.0,0.995358,0.416667,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.739175,0,always_semantic_token,heuristic
always_image,nominal_patrol,1,12,0.333333,0.083333,0.547204,0.72973,0.340626,6.779939,706.762766,178.427522,178.427522,0.143429,0.686667,0.65,0.65,0.65,0.788858,17.233268,2236.607368,0.0,0.0,464.189512,3.070036,0.068178,0.0,0.0,0.666667,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.078881,0,always_image,heuristic
semantic_greedy,nominal_patrol,1,12,0.083333,0.083333,0.462944,0.628379,0.321586,6.411363,638.759995,150.667896,150.667896,0.197214,0.659167,0.65,0.65,0.65,1.219144,17.284912,2283.415418,0.0,0.0,398.144417,2.63323,0.055148,0.0,0.155579,0.916667,0.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.916667,0.0,-3.005779,0,semantic_greedy,heuristic
lyapunov_greedy,nominal_patrol,1,12,0.0,0.0,0.281615,0.363825,0.347464,0.19409,85.85,0.0,0.0,0.460052,0.741667,0.741667,0.65,0.76,2.390738,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.073158,0,lyapunov_greedy,heuristic
ppo,nominal_patrol,1,12,0.833333,0.0,0.726881,0.927928,0.364338,20.638555,3055.914059,0.990084,0.990084,0.024701,0.741667,0.65,0.65,0.65,0.28406,104.837535,17132.2078,1.25,0.0,3025.524805,20.010085,0.192478,0.0,0.0,0.166667,1.0,0.25,0.0,0.0,0.0,0.0,0.166667,0.833333,0.0,0.0,-6.518723,0,proposed_two_timescale_ppo,rl
always_cache,nominal_patrol,1,12,0.0,0.0,0.318,0.395668,0.333266,0.18122,85.85,0.0,0.0,0.501999,0.82,0.82,0.82,0.82,2.57314,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.070584,1,always_cache,heuristic
always_semantic_token,nominal_patrol,1,12,0.0,0.0,0.773708,0.901281,0.241185,6.413528,874.22798,0.854388,0.854388,0.046292,0.82,0.82,0.82,0.82,0.334134,15.469729,1660.751507,0.0,0.0,807.507464,5.340658,0.126869,0.0,0.995727,1.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.992343,1,always_semantic_token,heuristic
always_image,nominal_patrol,1,12,0.0,0.0,0.770074,0.975096,0.35501,5.106633,448.650924,199.961305,199.961305,0.049926,0.82,0.82,0.82,0.82,0.333643,19.87339,1241.586046,0.0,0.0,231.198429,1.52909,0.03747,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.60071,1,always_image,heuristic
semantic_greedy,nominal_patrol,1,12,0.0,0.0,0.770074,0.975096,0.35501,5.106633,448.650924,199.961305,199.961305,0.049926,0.82,0.82,0.82,0.82,0.333643,19.87339,1241.586046,0.0,0.0,231.198429,1.52909,0.03747,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.60071,1,semantic_greedy,heuristic
