scenario,benchmark_policy,seeds,runs,episodes_per_seed,tasks_total,variant_kind,semantic_success_rate_mean,semantic_success_rate_std,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_accuracy_mean_mean,average_accuracy_mean_std,average_uncertainty_mean,average_uncertainty_std,average_semantic_quality_gap_mean,average_semantic_quality_gap_std,average_epsilon_k_mean,average_epsilon_k_std,failed_epsilon_k_mean_mean,failed_epsilon_k_mean_std,failed_epsilon_k_min_mean,failed_epsilon_k_min_std,failed_epsilon_k_max_mean,failed_epsilon_k_max_std,average_q_quality_mean,average_q_quality_std,average_q_deadline_mean,average_q_deadline_std,average_q_energy_mean,average_q_energy_std,average_q_utm_mean,average_q_utm_std,average_mobility_energy_j_mean,average_mobility_energy_j_std,average_arrival_delay_s_mean,average_arrival_delay_s_std,average_coverage_gain_mean,average_coverage_gain_std,average_utm_conflict_risk_mean,average_utm_conflict_risk_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,deadline_violation_rate_mean,deadline_violation_rate_std,utm_conflict_violation_rate_mean,utm_conflict_violation_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std
disaster_hotspot,always_cache,"0,1,2",3,20,600,heuristic,0.003333,0.005774,0.003333,0.005774,0.268401,0.001318,0.331075,0.004067,0.285359,0.019073,0.571626,0.001292,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,2.962275,0.029866,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224801,3.6e-05,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,always_image,"0,1,2",3,20,600,heuristic,0.35,0.05,0.0,0.0,0.576528,0.030299,0.674615,0.027796,0.316707,0.00866,0.301791,0.025289,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.659848,0.13909,16.688359,0.004351,306.136466,0.803368,0.0,0.0,118.747747,0.169542,0.785369,0.001121,0.148004,7e-05,1.0,0.0,4.330527,0.000265,327.819165,0.168638,189.974687,0.665716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
disaster_hotspot,always_semantic_token,"0,1,2",3,20,600,heuristic,0.158333,0.017559,0.053333,0.002887,0.508612,0.006143,0.733986,0.009308,0.410374,0.005687,0.341051,0.005214,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.513184,0.046082,4.222831,0.007362,58.565977,0.423848,0.0,0.0,123.320587,0.057612,0.815612,0.000381,0.148929,8e-05,1.0,0.0,1.601139,0.000366,158.217162,0.057611,1.171402,0.000435,0.295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
disaster_hotspot,lyapunov_greedy,"0,1,2",3,20,600,heuristic,0.003333,0.005774,0.003333,0.005774,0.268401,0.001318,0.331075,0.004067,0.285359,0.019073,0.571626,0.001292,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,2.962275,0.029866,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224801,3.6e-05,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
disaster_hotspot,proposed_two_timescale_ppo,"0,1,2",3,20,600,rl,0.22,0.00866,0.11,0.0,0.571959,0.000534,0.814552,0.001127,0.452902,0.001095,0.278462,0.00077,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.132917,0.002658,3.9722,0.041192,51.353544,1.064195,0.0,0.0,126.458424,0.065822,0.836365,0.000435,0.149298,5.7e-05,0.893333,0.011547,1.560022,0.006656,158.47003,0.255109,1.046311,0.012945,0.29,0.0,0.0,0.0,0.106667,0.011547,0.893333,0.011547,0.0,0.0
disaster_hotspot,proposed_v2_deadline_guard,"0,1,2",3,20,600,rl,0.22,0.00866,0.11,0.0,0.571959,0.000534,0.814552,0.001127,0.452902,0.001095,0.278462,0.00077,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.132917,0.002658,3.9722,0.041192,51.353544,1.064195,0.0,0.0,126.458424,0.065822,0.836365,0.000435,0.149298,5.7e-05,0.893333,0.011547,1.560022,0.006656,158.47003,0.255109,1.046311,0.012945,0.29,0.0,0.0,0.0,0.106667,0.011547,0.893333,0.011547,0.0,0.0
disaster_hotspot,proposed_v2_nearest_uav_mobility,"0,1,2",3,20,600,rl,0.22,0.00866,0.11,0.0,0.571959,0.000534,0.814552,0.001127,0.452902,0.001095,0.278462,0.00077,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.132917,0.002658,3.9722,0.041192,51.353544,1.064195,0.0,0.0,126.458424,0.065822,0.836365,0.000435,0.149298,5.7e-05,0.893333,0.011547,1.560022,0.006656,158.47003,0.255109,1.046311,0.012945,0.29,0.0,0.0,0.0,0.106667,0.011547,0.893333,0.011547,0.0,0.0
disaster_hotspot,proposed_v2_no_image_under_low_snr,"0,1,2",3,20,600,rl,0.22,0.00866,0.11,0.0,0.571959,0.000534,0.814552,0.001127,0.452902,0.001095,0.278462,0.00077,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.132917,0.002658,3.9722,0.041192,51.353544,1.064195,0.0,0.0,126.458424,0.065822,0.836365,0.000435,0.149298,5.7e-05,0.893333,0.011547,1.560022,0.006656,158.47003,0.255109,1.046311,0.012945,0.29,0.0,0.0,0.0,0.106667,0.011547,0.893333,0.011547,0.0,0.0
disaster_hotspot,semantic_greedy,"0,1,2",3,20,600,heuristic,0.151667,0.017559,0.046667,0.002887,0.461426,0.010483,0.58979,0.015657,0.401801,0.003129,0.387476,0.010942,0.84,0.0,0.84,0.0,0.84,0.0,0.84,0.0,1.939296,0.051589,13.336728,0.261698,218.521892,10.706379,0.0,0.0,120.429732,0.285701,0.793054,0.002776,0.147957,8.6e-05,0.993333,0.002887,3.90982,0.045699,302.905579,2.764487,163.962164,4.219263,0.953333,0.002887,0.0,0.0,0.006667,0.002887,0.145,0.02,0.848333,0.017559
edge_overload,always_cache,"0,1,2",3,20,720,heuristic,0.0,0.0,0.0,0.0,0.19418,0.0,0.3375,0.0,0.715742,0.0,0.44582,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,0.0,3.046108,0.001155,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357126,7.5e-05,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
