episode,quality_cost,deadline_cost,lambda_quality,lambda_deadline,method,seed
0.0,0.8,0.55,0.0,0.0,service_only_ppo,0
1.0,0.55,0.725,0.0,0.0,service_only_ppo,0
2.0,1.0,0.325,0.0,0.0,service_only_ppo,0
3.0,1.0,0.45,0.0,0.0,service_only_ppo,0
4.0,0.825,0.5,0.0,0.0,service_only_ppo,0
5.0,1.0,0.275,0.0,0.0,service_only_ppo,0
6.0,0.25,0.7,0.0,0.0,service_only_ppo,0
7.0,0.65,0.5,0.0,0.0,service_only_ppo,0
8.0,0.625,0.475,0.0,0.0,service_only_ppo,0
9.0,0.8,0.425,0.0,0.0,service_only_ppo,0
10.0,0.725,0.575,0.0,0.0,service_only_ppo,0
11.0,0.85,0.45,0.0,0.0,service_only_ppo,0
12.0,0.85,0.525,0.0,0.0,service_only_ppo,0
13.0,0.525,0.4,0.0,0.0,service_only_ppo,0
14.0,0.7,0.55,0.0,0.0,service_only_ppo,0
15.0,0.725,0.55,0.0,0.0,service_only_ppo,0
16.0,0.725,0.5,0.0,0.0,service_only_ppo,0
17.0,0.325,0.625,0.0,0.0,service_only_ppo,0
18.0,0.45,0.575,0.0,0.0,service_only_ppo,0
19.0,1.0,0.425,0.0,0.0,service_only_ppo,0
20.0,0.975,0.6,0.0,0.0,service_only_ppo,0
21.0,0.6,0.525,0.0,0.0,service_only_ppo,0
22.0,0.975,0.6,0.0,0.0,service_only_ppo,0
23.0,0.8,0.575,0.0,0.0,service_only_ppo,0
24.0,1.0,0.475,0.0,0.0,service_only_ppo,0
25.0,0.925,0.5,0.0,0.0,service_only_ppo,0
26.0,0.975,0.475,0.0,0.0,service_only_ppo,0
27.0,0.625,0.5,0.0,0.0,service_only_ppo,0
28.0,1.0,0.6,0.0,0.0,service_only_ppo,0
29.0,0.825,0.575,0.0,0.0,service_only_ppo,0
30.0,1.0,0.525,0.0,0.0,service_only_ppo,0
31.0,1.0,0.475,0.0,0.0,service_only_ppo,0
32.0,0.525,0.45,0.0,0.0,service_only_ppo,0
33.0,0.6,0.45,0.0,0.0,service_only_ppo,0
34.0,0.875,0.325,0.0,0.0,service_only_ppo,0
35.0,0.55,0.4,0.0,0.0,service_only_ppo,0
36.0,0.975,0.375,0.0,0.0,service_only_ppo,0
37.0,0.525,0.45,0.0,0.0,service_only_ppo,0
38.0,0.975,0.45,0.0,0.0,service_only_ppo,0
39.0,0.975,0.2,0.0,0.0,service_only_ppo,0
40.0,0.8,0.15,0.0,0.0,service_only_ppo,0
41.0,0.675,0.275,0.0,0.0,service_only_ppo,0
42.0,0.65,0.3,0.0,0.0,service_only_ppo,0
43.0,0.975,0.2,0.0,0.0,service_only_ppo,0
44.0,0.85,0.15,0.0,0.0,service_only_ppo,0
45.0,0.975,0.1,0.0,0.0,service_only_ppo,0
46.0,1.0,0.05,0.0,0.0,service_only_ppo,0
47.0,0.975,0.125,0.0,0.0,service_only_ppo,0
48.0,0.975,0.075,0.0,0.0,service_only_ppo,0
49.0,0.875,0.1,0.0,0.0,service_only_ppo,0
50.0,0.925,0.05,0.0,0.0,service_only_ppo,0
51.0,0.9,0.1,0.0,0.0,service_only_ppo,0
52.0,0.975,0.05,0.0,0.0,service_only_ppo,0
53.0,0.975,0.05,0.0,0.0,service_only_ppo,0
54.0,0.975,0.0,0.0,0.0,service_only_ppo,0
55.0,1.0,0.0,0.0,0.0,service_only_ppo,0
56.0,0.9,0.075,0.0,0.0,service_only_ppo,0
57.0,0.95,0.05,0.0,0.0,service_only_ppo,0
58.0,0.975,0.0,0.0,0.0,service_only_ppo,0
59.0,0.975,0.025,0.0,0.0,service_only_ppo,0
60.0,0.95,0.025,0.0,0.0,service_only_ppo,0
61.0,1.0,0.0,0.0,0.0,service_only_ppo,0
62.0,1.0,0.0,0.0,0.0,service_only_ppo,0
63.0,1.0,0.0,0.0,0.0,service_only_ppo,0
64.0,0.975,0.0,0.0,0.0,service_only_ppo,0
65.0,0.975,0.0,0.0,0.0,service_only_ppo,0
66.0,1.0,0.0,0.0,0.0,service_only_ppo,0
