episode,raw_return,shaped_return,return,success_rate,mean_reward,mean_shaped_reward,quality_cost,deadline_cost,lambda_quality,lambda_deadline,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,method,seed
0.0,-97.06882199999998,-97.06882199999998,-97.06882199999998,0.025,-2.4267205499999998,-2.4267205499999998,0.8,0.55,0.0,0.0,0.6675000000000001,0.685,0.41999999999999993,0.24349999999999997,service_only_ppo,0
1.0,-108.03524200000003,-108.03524200000003,-108.03524200000003,0.05,-2.7008810500000004,-2.7008810500000004,0.55,0.725,0.0,0.0,0.8574999999999999,0.8650000000000002,0.45999999999999996,0.24150000000000005,service_only_ppo,0
2.0,-74.69686300000002,-74.69686300000002,-74.69686300000002,0.0,-1.8674215750000005,-1.8674215750000005,1.0,0.325,0.0,0.0,0.5962500000000002,0.6175000000000003,0.31875000000000014,0.15799999999999997,service_only_ppo,0
3.0,-83.46028700000001,-83.46028700000001,-83.46028700000001,0.0,-2.0865071750000004,-2.0865071750000004,1.0,0.45,0.0,0.0,0.5962500000000002,0.6175000000000003,0.37875000000000014,0.21799999999999997,service_only_ppo,0
4.0,-89.235125,-89.235125,-89.235125,0.025,-2.230878125,-2.230878125,0.825,0.5,0.0,0.0,0.5825000000000002,0.6050000000000002,0.3300000000000001,0.17049999999999998,service_only_ppo,0
5.0,-70.53994099999998,-70.53994099999998,-70.53994099999998,0.0,-1.7634985249999997,-1.7634985249999997,1.0,0.275,0.0,0.0,0.5962500000000002,0.6175,0.3112500000000001,0.15049999999999994,service_only_ppo,0
6.0,-107.47056999999997,-107.47056999999997,-107.47056999999997,0.05,-2.686764249999999,-2.686764249999999,0.25,0.7,0.0,0.0,0.7387500000000001,0.7525000000000002,0.3712500000000002,0.18150000000000005,service_only_ppo,0
7.0,-72.977148,-72.977148,-72.977148,0.05,-1.8244287,-1.8244287,0.65,0.5,0.0,0.0,0.7250000000000002,0.7400000000000002,0.3825000000000001,0.1915,service_only_ppo,0
8.0,-80.82357400000001,-80.82357400000001,-80.82357400000001,0.05,-2.0205893500000003,-2.0205893500000003,0.625,0.475,0.0,0.0,0.6875000000000002,0.7050000000000003,0.4000000000000001,0.21550000000000002,service_only_ppo,0
9.0,-70.376223,-70.376223,-70.376223,0.05,-1.759405575,-1.759405575,0.8,0.425,0.0,0.0,0.6200000000000003,0.6399999999999999,0.36499999999999994,0.19899999999999998,service_only_ppo,0
10.0,-88.334255,-88.334255,-88.334255,0.025,-2.208356375,-2.208356375,0.725,0.575,0.0,0.0,0.7862500000000001,0.7975000000000001,0.45624999999999993,0.25349999999999995,service_only_ppo,0
11.0,-85.10168099999999,-85.10168099999999,-85.10168099999999,0.025,-2.1275420249999994,-2.1275420249999994,0.85,0.45,0.0,0.0,0.6200000000000001,0.64,0.35750000000000004,0.19150000000000003,service_only_ppo,0
12.0,-91.16484899999999,-91.16484899999999,-91.16484899999999,0.025,-2.279121225,-2.279121225,0.85,0.525,0.0,0.0,0.64375,0.6625,0.39999999999999997,0.22999999999999993,service_only_ppo,0
13.0,-57.88700000000001,-57.88700000000001,-57.88700000000001,0.1,-1.447175,-1.447175,0.525,0.4,0.0,0.0,0.5250000000000001,0.55,0.30750000000000005,0.16249999999999998,service_only_ppo,0
14.0,-90.09029700000002,-90.09029700000002,-90.09029700000002,0.025,-2.2522574250000007,-2.2522574250000007,0.7,0.55,0.0,0.0,0.6675000000000002,0.6850000000000002,0.40875000000000006,0.23349999999999999,service_only_ppo,0
15.0,-89.21579100000004,-89.21579100000004,-89.21579100000004,0.05,-2.230394775000001,-2.230394775000001,0.725,0.55,0.0,0.0,0.7625000000000001,0.7750000000000001,0.46999999999999986,0.27249999999999996,service_only_ppo,0
16.0,-66.22288,-66.22288,-66.22288,0.075,-1.655572,-1.655572,0.725,0.5,0.0,0.0,0.6775000000000001,0.6950000000000002,0.4137500000000001,0.2345,service_only_ppo,0
17.0,-71.800522,-71.800522,-71.800522,0.05,-1.79501305,-1.79501305,0.325,0.625,0.0,0.0,0.6912500000000003,0.7075000000000002,0.44375,0.2619999999999999,service_only_ppo,0
