method,seed,status,run_dir,command
heuristic_baselines,0,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 0 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0 --policy all
service_only_ppo,0,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 0 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed0 --policy ppo --train-ppo --train-episodes 120 --service-only-ppo --no-constrained-ppo
hybrid_ppo,0,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 0 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed0 --policy ppo --train-ppo --train-episodes 120 --no-constrained-ppo
hybrid_tch_ppo,0,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 0 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed0 --policy ppo --train-ppo --train-episodes 120
heuristic_baselines,1,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 1 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1 --policy all
service_only_ppo,1,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed1,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 1 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed1 --policy ppo --train-ppo --train-episodes 120 --service-only-ppo --no-constrained-ppo
hybrid_ppo,1,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed1,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 1 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed1 --policy ppo --train-ppo --train-episodes 120 --no-constrained-ppo
hybrid_tch_ppo,1,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed1,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 1 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed1 --policy ppo --train-ppo --train-episodes 120
heuristic_baselines,2,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 2 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2 --policy all
service_only_ppo,2,ran,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed2,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 200 --seed 2 --output-dir outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed2 --policy ppo --train-ppo --train-episodes 120 --service-only-ppo --no-constrained-ppo
