episode,raw_return,shaped_return,return,success_rate,mean_reward,mean_shaped_reward,quality_cost,deadline_cost,lambda_quality,lambda_deadline,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share
0.0,-98.20254599999998,-98.20254599999998,-98.20254599999998,0.025,-2.4550636499999996,-2.4550636499999996,0.8,0.575,0.04000000000000001,0.028749999999999998,0.5267357196360828,0.5007430303096772,0.5561102092973889,0.5449236214458942
1.0,-108.10280200000001,-109.816552,-108.10280200000001,0.05,-2.7025700500000003,-2.7454138,0.55,0.725,0.0675,0.065,0.5120715916603804,0.49845074668526645,0.550721176031977,0.5022419465966522
2.0,-73.22996299999997,-76.64496300000002,-73.22996299999997,0.0,-1.8307490749999993,-1.9161240750000004,1.0,0.275,0.11750000000000001,0.07875,0.48942908963561066,0.5029617262631654,0.5660689963921905,0.5549976468011737
3.0,-82.26526500000001,-88.225265,-82.26526500000001,0.0,-2.0566316250000005,-2.2056316249999997,1.0,0.4,0.1675,0.09875,0.4957347808331252,0.47161829840391867,0.5508992333710193,0.5124172627925873
4.0,-90.55712700000002,-98.05962699999998,-90.55712700000002,0.025,-2.2639281750000007,-2.4514906749999996,0.825,0.5,0.20875000000000002,0.12375,0.5025572011470795,0.5149780848622323,0.5894121664986014,0.49488983999192726
5.0,-69.17502000000002,-78.63876999999998,-69.17502000000002,0.0,-1.7293755000000004,-1.9659692499999994,1.0,0.225,0.25875000000000004,0.135,0.4924638243243097,0.5580481673777105,0.5852133167460558,0.5090254017226398
6.0,-108.044851,-114.412351,-108.044851,0.05,-2.7011212749999998,-2.860308775,0.25,0.7,0.27125000000000005,0.17,0.5336779813319446,0.47715149478986846,0.5542015536874533,0.5395393859483301
7.0,-70.171565,-80.11406499999998,-70.171565,0.05,-1.7542891250000001,-2.0028516249999995,0.65,0.425,0.3037500000000001,0.19125,0.5489805898964405,0.4914057843014599,0.5936317415460945,0.5304307504817845
8.0,-78.862269,-89.89851900000001,-78.862269,0.05,-1.971556725,-2.2474629750000004,0.625,0.45,0.3350000000000001,0.21375,0.5069585993438959,0.5038867624849079,0.6039062818065286,0.53308995231241
9.0,-68.98825699999999,-82.91450699999997,-68.98825699999999,0.05,-1.7247064249999997,-2.072862674999999,0.8,0.375,0.3750000000000001,0.23249999999999998,0.49007968644797806,0.4992419334128497,0.5645668159797788,0.5522474839538336
10.0,-81.60428900000001,-96.43178900000002,-81.60428900000001,0.025,-2.0401072250000003,-2.4107947250000006,0.725,0.425,0.4112500000000001,0.25375,0.5116434867978097,0.5076561685837804,0.5968567790389062,0.5470875478833913
11.0,-84.53637400000001,-102.832624,-84.53637400000001,0.025,-2.1134093500000004,-2.5708156,0.85,0.425,0.4537500000000001,0.27499999999999997,0.520984048858285,0.4904395977035164,0.6074276988357304,0.5565081857815385
12.0,-90.43289500000003,-111.08539499999999,-90.43289500000003,0.025,-2.260822375000001,-2.777134875,0.85,0.475,0.4962500000000001,0.29874999999999996,0.5177522831559183,0.4632288466766476,0.6592743616253138,0.5646117834821344
13.0,-59.341488,-74.54273800000001,-59.341488,0.1,-1.4835372,-1.8635684500000003,0.525,0.4,0.5225000000000001,0.31875,0.5098107849508524,0.44372598303481936,0.6155816670134664,0.5778790495470166
14.0,-89.37215500000002,-110.69590500000002,-89.37215500000002,0.025,-2.2343038750000006,-2.7673976250000005,0.7,0.525,0.5575000000000001,0.345,0.5174035014435647,0.474335057027638,0.658190611921251,0.5223516502007841
