source,method,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,quality_violation_rate_mean,quality_violation_rate_std,deadline_violation_rate_mean,deadline_violation_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std,service_level_3_ratio_mean,service_level_3_ratio_std
sim_v1_9_snr_resource,always_cache,0.285625,,0.559877,,0.05,,0.2,,0.0,,0.714375,,0.0,,1.0,,0.0,,0.0,,0.0,
sim_v1_9_snr_resource,always_light,0.2035,,0.599106,,0.35511,,1.0,,0.850032,,0.7965,,0.0,,0.0,,1.0,,0.0,,0.0,
sim_v1_9_snr_resource,always_image,0.560375,,0.587737,,1.545741,,2.5,,93.043568,,0.439625,,0.0,,0.0,,0.0,,1.0,,0.0,
sim_v1_9_snr_resource,greedy_min_sufficient_evidence,0.71075,,0.707152,,0.896145,,1.561625,,48.024437,,0.28925,,0.0,,0.285625,,0.187625,,0.52675,,0.0,
sim_v1_9_snr_resource,no_cache_greedy,0.567,,0.582602,,1.304808,,2.19475,,73.878517,,0.433,,0.0,,0.0,,0.2035,,0.7965,,0.0,
sim_v1_9_snr_resource,no_semantic_tokens_greedy,0.704125,,0.711986,,1.118942,,1.843063,,65.779258,,0.295875,,0.0,,0.285625,,0.0,,0.714375,,0.0,
sim_v1_9_snr_resource,oracle_best_feasible_evidence,0.71075,,0.720823,,0.66363,,1.2192,,29.122253,,0.28925,,0.0,,0.36725,,0.29075,,0.342,,0.0,
rl_formal_hybrid_tch_ppo,always_cache,0.017375,0.0,0.411194,5.1e-05,0.091381,3.2e-05,1.61,0.0,0.0,0.0,0.982625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl_formal_hybrid_tch_ppo,always_light,0.01925,0.0,0.482992,0.000458,2.406586,0.008858,295.427341,1.33798,1.14554,5e-05,0.858,0.000901,0.258417,0.001252,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rl_formal_hybrid_tch_ppo,always_image,0.000375,0.0,0.439439,3.9e-05,4.474313,0.000516,359.181073,0.087624,184.116985,0.000785,0.553042,0.000144,0.9995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rl_formal_hybrid_tch_ppo,greedy_min_sufficient_evidence,0.0495,0.0,0.278936,0.000773,5.01025,0.006508,510.263057,1.182583,132.837814,0.16442,0.711625,0.000901,0.920125,0.0,0.017625,0.0,0.2615,0.000901,0.720875,0.000901,0.0,0.0
rl_formal_hybrid_tch_ppo,no_cache_greedy,0.019375,0.0,0.148783,0.000773,4.811875,0.006366,445.136606,1.182446,158.115216,0.16442,0.8465,0.000901,0.969125,0.0,0.0,0.0,0.142,0.000901,0.858,0.000901,0.0,0.0
rl_formal_hybrid_tch_ppo,no_semantic_tokens_greedy,0.01775,0.0,0.722762,3.9e-05,4.528943,0.00064,372.475624,0.087747,180.670009,0.000785,0.265542,0.000144,0.982,0.0,0.017375,0.0,0.0,0.0,0.982625,0.0,0.0,0.0
rl_formal_hybrid_tch_ppo,oracle_best_feasible_evidence,0.0485,0.0,0.819404,0.000179,2.523668,0.007733,285.848576,0.94744,47.192421,0.135182,0.697708,0.000832,0.269208,0.000732,0.691792,0.000732,0.05125,0.0,0.256958,0.000732,0.0,0.0
rl_formal_hybrid_tch_ppo,service_only_ppo,0.017375,0.0,0.411194,5.1e-05,0.091381,3.2e-05,1.61,0.0,0.0,0.0,0.982625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl_formal_hybrid_tch_ppo,hybrid_ppo,0.017375,0.0,0.411194,5.1e-05,0.368974,0.170837,1.626126,0.02793,0.0,0.0,0.982625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl_formal_hybrid_tch_ppo,hybrid_tch_ppo,0.017375,0.0,0.411194,5.1e-05,0.272868,0.225725,1.618535,0.014782,0.0,0.0,0.982625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
