episode,raw_return,shaped_return,return,success_rate,mean_reward,mean_shaped_reward,quality_cost,deadline_cost,lambda_quality,lambda_deadline,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share
0.0,-77.75458599999999,-77.75458599999999,-77.75458599999999,0.05,-1.9438646499999996,-1.9438646499999996,0.7,0.475,0.0,0.0,0.6675000000000002,0.685,0.3300000000000001,0.15350000000000003
1.0,-85.66624900000004,-85.66624900000004,-85.66624900000004,0.0,-2.141656225000001,-2.141656225000001,1.0,0.45,0.0,0.0,0.8100000000000002,0.8200000000000001,0.46499999999999997,0.257
2.0,-95.07434800000001,-95.07434800000001,-95.07434800000001,0.025,-2.3768587000000005,-2.3768587000000005,0.75,0.625,0.0,0.0,0.7825000000000001,0.7950000000000002,0.4125000000000001,0.20700000000000002
3.0,-78.814836,-78.814836,-78.814836,0.025,-1.9703709,-1.9703709,0.975,0.375,0.0,0.0,0.6437500000000002,0.6625000000000002,0.3587500000000001,0.18750000000000003
4.0,-95.819619,-95.819619,-95.819619,0.05,-2.395490475,-2.395490475,0.425,0.55,0.0,0.0,0.5825000000000002,0.6050000000000002,0.3187500000000002,0.1605
5.0,-71.27938800000003,-71.27938800000003,-71.27938800000003,0.05,-1.7819847000000006,-1.7819847000000006,0.65,0.425,0.0,0.0,0.6437500000000002,0.6625000000000002,0.37375000000000014,0.20250000000000004
6.0,-82.09768999999999,-82.09768999999999,-82.09768999999999,0.05,-2.0524422499999995,-2.0524422499999995,0.625,0.55,0.0,0.0,0.7725000000000002,0.7850000000000001,0.41125000000000006,0.211
7.0,-68.58931099999998,-68.58931099999998,-68.58931099999998,0.05,-1.7147327749999994,-1.7147327749999994,0.75,0.4,0.0,0.0,0.6200000000000001,0.64,0.36125,0.1965
8.0,-78.245334,-78.245334,-78.245334,0.025,-1.95613335,-1.95613335,0.75,0.45,0.0,0.0,0.6537500000000002,0.6725,0.36374999999999996,0.1885
9.0,-83.43147700000004,-83.43147700000004,-83.43147700000004,0.025,-2.085786925000001,-2.085786925000001,0.875,0.425,0.0,0.0,0.6912500000000001,0.7075000000000001,0.36875000000000013,0.18700000000000003
10.0,-134.85265600000002,-134.85265600000002,-134.85265600000002,0.025,-3.3713164000000004,-3.3713164000000004,0.925,0.7,0.0,0.0,0.7587500000000001,0.7725000000000002,0.40375000000000005,0.20850000000000005
11.0,-62.310182999999995,-62.310182999999995,-62.310182999999995,0.1,-1.557754575,-1.557754575,0.5,0.475,0.0,0.0,0.6675000000000002,0.6850000000000003,0.3675000000000001,0.191
