method,seed,run_dir,command
heuristic_baselines,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/baselines_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/baselines_seed0 --tasks-per-episode 2 --policy all
service_only_ppo,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/service_only_ppo_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/service_only_ppo_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --service-only-ppo --no-constrained-ppo --semantic-reward-mode env
hybrid_ppo_no_lagrangian,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/hybrid_ppo_no_lagrangian_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/hybrid_ppo_no_lagrangian_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --no-constrained-ppo --semantic-reward-mode semantic_utility
hybrid_ppo_lagrangian,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/hybrid_ppo_lagrangian_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/hybrid_ppo_lagrangian_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --semantic-reward-mode semantic_utility
proposed_risk_aware_semantic_rl,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/proposed_risk_aware_semantic_rl_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/proposed_risk_aware_semantic_rl_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --proposed-semantic-rl --demo-policy oracle_best_feasible_evidence --demo-episodes 80 --bc-epochs 12 --bc-aux-weight 0.10 --lambda-lr 0.03
ablation_no_semantic_utility,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_no_semantic_utility_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_no_semantic_utility_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --risk-aware-constraints --semantic-reward-mode no_semantic_utility --imitation-warm-start --demo-policy oracle_best_feasible_evidence --demo-episodes 80 --bc-epochs 12 --bc-aux-weight 0.10
ablation_accuracy_only_utility,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_accuracy_only_utility_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_accuracy_only_utility_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --risk-aware-constraints --semantic-reward-mode accuracy_only --imitation-warm-start --demo-policy oracle_best_feasible_evidence --demo-episodes 80 --bc-epochs 12 --bc-aux-weight 0.10
ablation_uncertainty_aware_utility,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_uncertainty_aware_utility_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_uncertainty_aware_utility_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --risk-aware-constraints --semantic-reward-mode uncertainty_aware --imitation-warm-start --demo-policy oracle_best_feasible_evidence --demo-episodes 80 --bc-epochs 12 --bc-aux-weight 0.10
ablation_no_safety_layer,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_no_safety_layer_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_no_safety_layer_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --risk-aware-constraints --semantic-reward-mode semantic_utility --imitation-warm-start --demo-policy oracle_best_feasible_evidence --demo-episodes 80 --bc-epochs 12 --bc-aux-weight 0.10 --no-safety-layer
ablation_no_imitation_warm_start,0,outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_no_imitation_warm_start_seed0,/home/qiankun/.conda/envs/uav_semcom/bin/python /home/qiankun/phd_research/vqa_semcom/scripts/run_v1_9_resource_alloc.py --config /home/qiankun/phd_research/vqa_semcom/configs/v1_9_snr_lut.yaml --lut-csv /home/qiankun/phd_research/vqa_semcom/outputs/lut/v1_9_snr_semantic_quality_lut.csv --episodes 1 --seed 0 --output-dir outputs/rl/v1_9_formal_semantic_rl_dryrun/ablation_no_imitation_warm_start_seed0 --tasks-per-episode 2 --policy ppo --train-ppo --train-episodes 2 --risk-aware-constraints --semantic-reward-mode semantic_utility
