episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,method,seed
0.0,-5.738195,-5.738195,-5.738195,-5.738195,0.0,-2.8690975,-2.8690975,-2.8690975,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.55,0.30000000000000004,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_only_ppo,0
1.0,-4.028449,-4.028449,-4.028449,-4.028449,0.0,-2.0142245,-2.0142245,-2.0142245,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.525,0.55,0.225,0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_only_ppo,0
0.0,-5.670221,-0.33465869685999994,-0.33465869685999994,-5.670221,0.0,-2.8351105,-0.16732934842999997,-0.16732934842999997,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30843955278396606,0.36520696580410006,0.3257789468765259,0.2058301092684269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid_ppo_no_lagrangian,0
1.0,-4.029821,1.7273898433533337,1.7273898433533337,-4.029821,0.0,-2.0149105,0.8636949216766668,0.8636949216766668,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2840981370210648,0.2704545333981514,0.23479204013943672,0.43850324004888536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid_ppo_no_lagrangian,0
0.0,-5.670221,-0.33465869685999994,-0.33465869685999994,-5.670221,0.0,-2.8351105,-0.16732934842999997,-0.16732934842999997,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30843955278396606,0.36520696580410006,0.3257789468765259,0.2058301092684269,0.05,0.05,0.025,0.025,0.0,0.0,0.0,0.05,0.025,hybrid_ppo_lagrangian,0
1.0,-4.029821,1.7273898433533337,1.6523898433533337,-4.029821,0.0,-2.0149105,0.8636949216766668,0.8261949216766669,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2840981370210648,0.2704545333981514,0.23479204013943672,0.43850324004888536,0.07500000000000001,0.07500000000000001,0.05,0.05,0.0,0.0,0.0,0.07500000000000001,0.05,hybrid_ppo_lagrangian,0
0.0,-8.530186,-0.06180265355999992,-0.06180265355999992,-8.530186,0.0,-4.265093,-0.03090132677999996,-0.03090132677999996,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1906694173812866,160.0,0.4793669682741165,0.48893592581152917,0.5492170752584934,0.7135273286700248,0.028499999999999998,0.0,0.028499999999999998,0.0,0.0,0.0,0.0,0.014249999999999999,0.014249999999999999,proposed_risk_aware_semantic_rl,0
1.0,-5.142784,1.6215426454800008,1.6215426454800008,-5.142784,0.0,-2.571392,0.8107713227400004,0.8107713227400004,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.1906694173812866,160.0,0.2806598573923111,0.3616964504122734,0.20908549010753633,0.18574426099658012,0.026999999999999996,0.0144,0.026999999999999996,0.0144,0.0,0.0,0.0,0.020699999999999996,0.020699999999999996,proposed_risk_aware_semantic_rl,0
0.0,-8.530186,0.61151734644,0.61151734644,-8.530186,0.0,-4.265093,0.30575867322,0.30575867322,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1906694173812866,160.0,0.4793669682741165,0.48893592581152917,0.5492170752584934,0.7135273286700248,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_no_semantic_utility,0
1.0,-5.135605,0.6571455551866666,0.6571455551866666,-5.135605,0.0,-2.5678025,0.3285727775933333,0.3285727775933333,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.1906694173812866,160.0,0.28230183422565464,0.3555559292435646,0.21462768092751502,0.18783790081739427,0.045,0.024,0.045,0.024,0.0,0.0,0.0,0.0345,0.0345,ablation_no_semantic_utility,0
0.0,-8.530186,0.842821734644,0.842821734644,-8.530186,0.0,-4.265093,0.421410867322,0.421410867322,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1906694173812866,160.0,0.4793669682741165,0.48893592581152917,0.5492170752584934,0.7135273286700248,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_accuracy_only_utility,0
1.0,-5.135530999999999,1.8575754280493335,1.8575754280493335,-5.135530999999999,0.0,-2.5677654999999997,0.9287877140246668,0.9287877140246668,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.1906694173812866,160.0,0.2822595143318176,0.355625718832016,0.2145938542485237,0.18786014705896378,0.045,0.024,0.045,0.024,0.0,0.0,0.0,0.0345,0.0345,ablation_accuracy_only_utility,0
0.0,-8.530186,-0.73447065356,-0.73447065356,-8.530186,0.0,-4.265093,-0.36723532678,-0.36723532678,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1906694173812866,160.0,0.4793669682741165,0.48893592581152917,0.5492170752584934,0.7135273286700248,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_uncertainty_aware_utility,0
