episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.017499999999999998,0.0
1.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.032499999999999994,0.0,0.0,0.04275,0.0,0.0,0.0,0.016249999999999997,0.021375
2.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.034999999999999996,0.04175,0.0,0.0,0.0,0.014999999999999996,0.038375
3.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.02749999999999999,0.0,0.032499999999999994,0.07825,0.0,0.0,0.0,0.013749999999999995,0.055374999999999994
4.0,0.875,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.06874999999999999,0.0,0.029999999999999992,0.07725,0.0,0.0,0.0,0.034374999999999996,0.05362499999999999
5.0,0.25,0.625,0.25,0.0,0.0,0.625,0.0,0.0,0.0,0.07874999999999999,0.0,0.02749999999999999,0.1075,0.0,0.0,0.0,0.03937499999999999,0.06749999999999999
6.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.07624999999999998,0.0,0.024999999999999988,0.15025,0.0,0.0,0.0,0.03812499999999999,0.087625
7.0,0.125,0.875,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.07999999999999999,0.0,0.022499999999999985,0.193,0.0,0.0,0.0,0.039999999999999994,0.10775
8.0,0.375,0.625,0.375,0.0,0.0,0.625,0.0,0.0,0.0,0.09624999999999999,0.0,0.019999999999999983,0.22325,0.0,0.0,0.0,0.048124999999999994,0.121625
9.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.09374999999999999,0.0,0.01749999999999998,0.24725,0.0,0.0,0.0,0.04687499999999999,0.132375
10.0,0.0,1.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.09124999999999998,0.0,0.02124999999999998,0.29,0.0,0.0,0.0,0.04562499999999999,0.15562499999999999
11.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.08874999999999998,0.0,0.018749999999999982,0.30774999999999997,0.0,0.0,0.0,0.04437499999999999,0.16324999999999998
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13624999999999998,0.0,0.01624999999999998,0.30674999999999997,0.0,0.0,0.0,0.06812499999999999,0.16149999999999998
13.0,0.0,0.75,0.0,0.0,0.125,0.625,0.0,0.0,0.0,0.13374999999999998,0.0,0.01999999999999998,0.33699999999999997,0.0,0.0,0.0,0.06687499999999999,0.17849999999999996
14.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.13124999999999998,0.0,0.01749999999999998,0.37975,0.0,0.0,0.0,0.06562499999999999,0.19862499999999997
15.0,0.0,1.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.12874999999999998,0.0,0.02124999999999998,0.4225,0.0,0.0,0.0,0.06437499999999999,0.221875
16.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.12624999999999997,0.0,0.018749999999999982,0.4465,0.0,0.0,0.0,0.06312499999999999,0.232625
17.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.12374999999999997,0.0,0.01624999999999998,0.483,0.0,0.0,0.0,0.061874999999999986,0.24962499999999999
