episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,0.6469260000000006,26.548617850000007,26.548617850000007,0.6469260000000006,0.25,0.08086575000000007,3.318577231250001,3.318577231250001,0.4988957500000001,0.06139675000000001,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.06,0.3,0.049999999999999996,0.09999999999999999,0.049999999999999996,0.01,0.034999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.017499999999999998,0.0
1.0,-16.187402,29.843035841893332,29.843035841893332,-16.187402,0.125,-2.02342525,3.7303794802366665,3.7303794802366665,0.901027,0.088692,1.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.059541666666666666,0.2985,0.8361051278188825,0.8119870472699404,0.5267453573644161,0.34411275461316104,0.032499999999999994,0.0,0.0,0.04275,0.0,0.0,0.0,0.016249999999999997,0.021375
2.0,-16.844763,24.627791369460006,24.627791369460006,-16.844763,0.25,-2.105595375,3.0784739211825007,3.0784739211825007,0.7222052500000001,0.0664905,0.875,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.05908333333333333,0.297,0.7791385939344765,0.7653584778308868,0.6127986464649439,0.47353123731911184,0.029999999999999992,0.0,0.034999999999999996,0.04175,0.0,0.0,0.0,0.014999999999999996,0.038375
3.0,-9.335891,40.46715278704668,40.21665278704668,-9.335891,0.25,-1.166986375,5.058394098380835,5.027081598380835,0.899723625,0.084971625,0.875,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.2942352294921875,160.0,0.058625,0.2955,0.8264809407293796,0.841321662440896,0.37287502884864804,0.17657764431089162,0.02749999999999999,0.0,0.032499999999999994,0.07825,0.0,0.0,0.0,0.013749999999999995,0.055374999999999994
4.0,-5.822783,7.2353850500000005,7.04288505,-5.822783,0.125,-0.727847875,0.9044231312500001,0.88036063125,0.4395493749999999,0.035743125,0.0,0.875,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.058166666666666665,0.294,0.049999999999999996,0.09999999999999999,0.049999999999999996,0.01,0.06874999999999999,0.0,0.029999999999999992,0.07725,0.0,0.0,0.0,0.034374999999999996,0.05362499999999999
5.0,-11.498444,27.48919797590667,26.96544797590667,-11.498444,0.125,-1.4373055,3.4361497469883338,3.370680996988334,0.841939,0.07537025,0.75,0.25,0.625,0.25,0.0,0.0,0.625,0.0,0.0,0.0,1.2942352294921875,160.0,0.057708333333333334,0.2925,0.7625,0.775,0.3125,0.11500000000000002,0.07874999999999999,0.0,0.02749999999999999,0.1075,0.0,0.0,0.0,0.03937499999999999,0.06749999999999999
6.0,-19.306001000000002,28.534389839100008,27.781889839100007,-19.306001000000002,0.125,-2.4132501250000002,3.566798729887501,3.472736229887501,0.902412875,0.08482975,0.875,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.057249999999999995,0.291,0.7878345975652337,0.8113960228860377,0.40257534887641666,0.2079914475604892,0.07624999999999998,0.0,0.024999999999999988,0.15025,0.0,0.0,0.0,0.03812499999999999,0.087625
7.0,-25.975029,15.723539631606672,14.595539631606671,-25.975029,0.0,-3.246878625,1.965442453950834,1.824442453950834,0.862299625,0.085448,0.875,0.125,0.875,0.125,0.0,0.0,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.056791666666666664,0.2895,0.7572033641859889,0.755086638405919,0.4553210215643048,0.28725844983011484,0.07999999999999999,0.0,0.022499999999999985,0.193,0.0,0.0,0.0,0.039999999999999994,0.10775
8.0,-20.939628999999996,12.667040804380004,11.462040804380003,-20.939628999999996,0.0,-2.6174536249999996,1.5833801005475006,1.4327551005475003,0.746662375,0.088839375,1.0,0.375,0.625,0.375,0.0,0.0,0.625,0.0,0.0,0.0,1.2942352294921875,160.0,0.05633333333333333,0.288,0.8261959992349148,0.8392716862261296,0.3838043631985783,0.17427348271012305,0.09624999999999999,0.0,0.019999999999999983,0.22325,0.0,0.0,0.0,0.048124999999999994,0.121625
9.0,-5.012526,50.21418581340667,49.32118581340667,-5.012526,0.5,-0.62656575,6.276773226675834,6.165148226675834,0.8353103749999999,0.071880625,0.625,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.2942352294921875,160.0,0.055874999999999994,0.2865,0.5968430131673812,0.6092301830649376,0.31765112839639187,0.1487227710336447,0.09374999999999999,0.0,0.01749999999999998,0.24725,0.0,0.0,0.0,0.04687499999999999,0.132375
