scenario,semantic_path,cells,accuracy_lcb,uncertainty,quality_gap,payload_kb,path_recommended_rate,cache_recommended_rate,critical_task_recommendation_rate,stale_expired_cache_recommendation_rate,future_reuse_value_available,cache_update_limitation_rate
normal_patrol,cache,48,0.454243125,0.36940706249999994,0.2312146875,0.0,0.1875,0.1875,0.0,0.0625,0.0,0.0
normal_patrol,token,48,0.5898998333333333,0.43429408333333336,0.15344279166666666,0.9517340416666666,0.4583333333333333,0.1875,0.0,0.0,0.0,0.0
normal_patrol,image,48,0.48295045833333333,0.42230525,0.24595350000000002,127.21524129166666,0.25,0.1875,0.0,0.0,0.0,0.0
normal_patrol,cache_update,48,0.5898998333333333,0.43429408333333336,0.15344279166666666,0.9517340416666666,0.0,0.1875,0.0,0.0,0.0,1.0
disaster_hotspot,cache,108,0.4611774444444445,0.26765241666666667,0.27656994444444444,0.0,0.1111111111111111,0.1111111111111111,0.027777777777777776,0.0,0.0,0.0
disaster_hotspot,token,108,0.5714567222222222,0.31620966666666667,0.1929678611111111,0.9383666666666666,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0
disaster_hotspot,image,108,0.48988349999999997,0.30469575000000004,0.28026275,93.96439902777777,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0
disaster_hotspot,cache_update,108,0.5714567222222222,0.31620966666666667,0.1929678611111111,0.9383666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,1.0
low_snr_soft,cache,108,0.4611774444444445,0.26765241666666667,0.22809811111111114,0.0,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.027777777777777776,0.0,0.0
low_snr_soft,token,108,0.5455175555555556,0.31580755555555556,0.175889,0.9166511388888888,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0
low_snr_soft,image,108,0.48541530555555557,0.30561405555555554,0.24190380555555555,69.45355569444445,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0
low_snr_soft,cache_update,108,0.5455175555555556,0.31580755555555556,0.175889,0.9166511388888888,0.0,0.16666666666666666,0.0,0.0,0.0,1.0
low_snr_blockage,cache,72,0.4611774444444445,0.26765241666666667,0.2280981111111111,0.0,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.027777777777777776,0.0,0.0
low_snr_blockage,token,72,0.4932954166666667,0.32317983333333333,0.21132525,0.870079875,0.375,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0
low_snr_blockage,image,72,0.4759965416666667,0.30752375,0.24679225,42.89884033333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0
low_snr_blockage,cache_update,72,0.4932954166666667,0.32317983333333333,0.21132525,0.870079875,0.0,0.16666666666666666,0.0,0.0,0.0,1.0
edge_overload,cache,48,0.454243125,0.36940706249999994,0.16184375,0.0,0.1875,0.1875,0.0,0.0625,0.0,0.0
edge_overload,token,48,0.5898998333333333,0.4342940833333333,0.09909670833333334,0.9517340416666666,0.5833333333333334,0.1875,0.125,0.0,0.0,0.0
edge_overload,image,48,0.48295045833333333,0.42230525,0.18938037500000002,127.21524129166666,0.5,0.1875,0.125,0.0,0.0,0.0
edge_overload,cache_update,48,0.5898998333333333,0.4342940833333333,0.09909670833333334,0.9517340416666666,0.0,0.1875,0.0,0.0,0.0,1.0
utm_conflict,cache,108,0.4611774444444445,0.26765241666666667,0.2599032777777778,0.0,0.1111111111111111,0.1111111111111111,0.027777777777777776,0.0,0.0,0.0
utm_conflict,token,108,0.5714567222222222,0.31620966666666667,0.17979880555555555,0.9383666666666666,0.3888888888888889,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0
utm_conflict,image,108,0.48988349999999997,0.30469575000000004,0.26692941666666664,93.96439902777777,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0
utm_conflict,cache_update,108,0.5714567222222222,0.31620966666666667,0.17979880555555555,0.9383666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,1.0
